SYMBOL	fold
A1BG	0
A2M	0
A4GALT	3
AAAS	9
AACS	7
AADAT	6
AAGAB	8
AAK1	2
AAMDC	7
AAMP	8
AAR2	5
AARS1	8
AARS2	0
AASDH	3
AASDHPPT	5
AASS	0
AATF	0
ABAT	2
ABCA1	5
ABCA2	6
ABCA3	0
ABCA5	2
ABCA7	0
ABCB1	0
ABCB10	1
ABCB6	6
ABCB7	4
ABCB8	0
ABCB9	5
ABCC1	9
ABCC10	8
ABCC3	9
ABCC4	4
ABCC5	7
ABCD1	1
ABCD3	9
ABCD4	1
ABCE1	3
ABCF1	0
ABCF3	7
ABCG1	4
ABCG2	5
ABHD10	1
ABHD11	0
ABHD12	5
ABHD13	0
ABHD14A	9
ABHD14B	7
ABHD15	0
ABHD17A	7
ABHD17B	4
ABHD17C	4
ABHD18	4
ABHD2	8
ABHD3	1
ABHD4	8
ABHD5	7
ABHD6	2
ABHD8	3
ABI1	6
ABI2	7
ABITRAM	0
ABL1	8
ABL2	6
ABLIM1	9
ABLIM3	2
ABR	3
ABRACL	9
ABRAXAS1	7
ABRAXAS2	3
ABT1	1
ABTB1	2
ABTB2	3
AC022506.1	5
AC055839.2	2
AC092835.1	8
AC093323.1	1
AC118549.1	4
ACAA1	6
ACAA2	1
ACACA	6
ACAD10	2
ACAD8	4
ACAD9	7
ACADM	8
ACADS	6
ACADSB	3
ACADVL	1
ACAP2	1
ACAP3	4
ACAT1	7
ACAT2	1
ACBD3	3
ACBD4	0
ACBD5	0
ACBD6	8
ACBD7	4
ACCS	6
ACD	8
ACER2	7
ACER3	7
ACHE	3
ACIN1	3
ACKR3	4
ACLY	0
ACO1	0
ACO2	8
ACOT11	8
ACOT13	6
ACOT2	1
ACOT7	7
ACOT8	9
ACOT9	8
ACOX1	5
ACOX2	6
ACOX3	6
ACP1	1
ACP2	4
ACP5	7
ACP6	9
ACSF2	4
ACSF3	5
ACSL1	6
ACSL3	6
ACSL4	8
ACSL5	4
ACSS1	0
ACSS2	0
ACSS3	3
ACTA2	8
ACTB	0
ACTC1	7
ACTG1	7
ACTG2	0
ACTL6A	9
ACTN1	6
ACTN4	9
ACTR10	2
ACTR1A	8
ACTR1B	7
ACTR2	2
ACTR3	1
ACTR3B	5
ACTR5	8
ACTR6	8
ACTR8	9
ACTRT3	2
ACVR1	0
ACVR1B	3
ACVR2A	2
ACVR2B	8
ACY1	4
ACYP1	8
ACYP2	4
ADA	7
ADAL	8
ADAM10	2
ADAM12	1
ADAM15	2
ADAM17	7
ADAM19	0
ADAM22	6
ADAM23	7
ADAM9	2
ADAMTS1	6
ADAMTS12	2
ADAMTS15	5
ADAMTS2	4
ADAMTS3	2
ADAMTS7	2
ADAMTSL4	8
ADAMTSL5	5
ADAP1	5
ADAR	5
ADARB1	5
ADAT1	2
ADAT2	9
ADAT3	6
ADCK1	8
ADCK2	8
ADCK5	0
ADCY3	9
ADCY6	4
ADCY7	3
ADCY9	8
ADD1	8
ADD2	0
ADD3	8
ADGRA3	2
ADGRB2	3
ADGRE5	2
ADGRG1	8
ADGRG6	2
ADGRL1	2
ADGRL2	1
ADGRL3	1
ADH5	6
ADI1	2
ADIPOR1	8
ADIPOR2	8
ADIRF	9
ADK	6
ADM	9
ADNP	5
ADNP2	2
ADO	5
ADORA2B	0
ADPGK	5
ADPRH	3
ADPRM	3
ADPRS	6
ADRB2	7
ADRM1	4
ADSL	1
ADSS1	5
ADSS2	9
AEBP1	6
AEBP2	4
AEN	6
AFAP1	9
AFAP1L1	5
AFDN	2
AFF1	6
AFF3	0
AFF4	4
AFG1L	9
AFG3L2	4
AFMID	2
AFTPH	1
AGA	3
AGAP1	4
AGAP2	2
AGAP3	4
AGBL5	1
AGFG1	0
AGFG2	9
AGGF1	1
AGK	9
AGL	6
AGMAT	5
AGO1	1
AGO2	6
AGO3	1
AGO4	3
AGPAT1	6
AGPAT2	5
AGPAT3	2
AGPAT4	2
AGPAT5	5
AGPS	0
AGRN	4
AGT	2
AGTPBP1	3
AGTRAP	6
AHCTF1	1
AHCY	8
AHCYL1	2
AHCYL2	6
AHDC1	6
