,rank,mean_importance
utr5_log_size,5.0,311.7039230585098
cds_log_size,1.0,5861.408456146717
utr3_log_size,34.0,91.45151538848877
tx_log_size,58.0,44.924606412649155
A_percent5,4.0,322.7471677541733
T_percent5,10.0,241.291401553154
G_percent5,41.0,62.186288660764696
C_percent5,21.0,125.50698871016502
A_percent3,70.0,38.513326248526575
T_percent3,18.0,152.9932051360607
G_percent3,15.0,204.61398721933364
C_percent3,33.0,91.55008516907692
codon_freq_AAA,95.0,27.23494079709053
codon_freq_AAT,109.0,22.759722352027893
codon_freq_AAG,29.0,114.23113894462585
codon_freq_AAC,102.0,24.602275103330612
codon_freq_ATA,91.0,28.40744904279709
codon_freq_ATT,84.0,32.18609557747841
codon_freq_ATG,24.0,119.10267310142517
codon_freq_ATC,65.0,41.683081990480424
codon_freq_AGA,74.0,36.87379283607006
codon_freq_AGT,56.0,47.9056560754776
codon_freq_AGG,26.0,116.4228028178215
codon_freq_AGC,14.0,211.50614896416664
codon_freq_ACA,54.0,48.8120880305767
codon_freq_ACT,99.0,25.753478214144707
codon_freq_ACG,86.0,30.33466763496399
codon_freq_ACC,39.0,65.36762046813965
codon_freq_TAA,77.0,34.52088932394982
codon_freq_TAT,118.0,19.49159073829651
codon_freq_TAG,159.0,7.618943786621093
codon_freq_TAC,92.0,28.384035533666612
codon_freq_TTA,57.0,45.38526155352592
codon_freq_TTT,130.0,17.54795860052109
codon_freq_TTG,111.0,22.43228923678398
codon_freq_TTC,69.0,38.618560659885404
codon_freq_TGA,127.0,18.272174143791197
codon_freq_TGT,48.0,54.84408759474754
codon_freq_TGG,43.0,60.021137091517446
codon_freq_TGC,51.0,49.77449805736542
codon_freq_TCA,49.0,54.71783030629158
codon_freq_TCT,116.0,20.149110931158067
codon_freq_TCG,143.0,15.91983146071434
codon_freq_TCC,64.0,41.78248369395733
codon_freq_GAA,112.0,21.741210812330245
codon_freq_GAT,12.0,221.79062361121177
codon_freq_GAG,37.0,68.4919790416956
codon_freq_GAC,105.0,23.78024734556675
codon_freq_GTA,88.0,29.91080983579159
codon_freq_GTT,94.0,28.160705012083053
codon_freq_GTG,98.0,25.804558038711548
codon_freq_GTC,96.0,27.149942648410796
codon_freq_GGA,82.0,32.50330022573471
codon_freq_GGT,28.0,115.1076115489006
codon_freq_GGG,31.0,102.73971473574639
codon_freq_GGC,97.0,26.963759458065034
codon_freq_GCA,81.0,33.40167552232742
codon_freq_GCT,35.0,86.88614466488362
codon_freq_GCG,103.0,24.28216204047203
codon_freq_GCC,106.0,23.604219049215317
codon_freq_CAA,60.0,43.92946692705154
codon_freq_CAT,76.0,34.61711944043636
codon_freq_CAG,59.0,44.877941113710406
codon_freq_CAC,30.0,113.77454743385314
codon_freq_CTA,47.0,55.39349454343319
codon_freq_CTT,101.0,24.737903785705566
codon_freq_CTG,108.0,23.163051170110702
codon_freq_CTC,52.0,49.53841090798378
codon_freq_CGA,119.0,19.32281839251518
codon_freq_CGT,45.0,57.21648211479187
codon_freq_CGG,19.0,137.2702099621296
codon_freq_CGC,79.0,33.97066176533699
codon_freq_CCA,40.0,64.82306532263756
