,rank,mean_importance
utr5_log_size,13.0,502.27843255996703
cds_log_size,1.0,5902.6019173622135
utr3_log_size,35.0,168.50828256607056
tx_log_size,4.0,689.5980837702751
A_percent5,39.0,156.05451897382736
T_percent5,45.0,130.24967020154
G_percent5,71.0,80.4188859462738
C_percent5,52.0,114.59619410037995
A_percent3,22.0,241.94130467772484
T_percent3,26.0,231.74738891720773
G_percent3,66.0,92.65597383975982
C_percent3,38.0,158.45563759803773
codon_freq_AAA,64.0,98.96038604974747
codon_freq_AAT,126.0,36.272262167930606
codon_freq_AAG,9.0,536.2044812083244
codon_freq_AAC,55.0,112.59925017356872
codon_freq_ATA,44.0,131.69113889932632
codon_freq_ATT,83.0,67.95843621492386
codon_freq_ATG,48.0,124.00670604109764
codon_freq_ATC,27.0,226.98255143165588
codon_freq_AGA,6.0,600.8477470874786
codon_freq_AGT,15.0,391.3082259774208
codon_freq_AGG,11.0,510.6059579849243
codon_freq_AGC,47.0,124.36533025503158
codon_freq_ACA,78.0,70.9446699976921
codon_freq_ACT,81.0,69.08871688842774
codon_freq_ACG,116.0,40.4328671336174
codon_freq_ACC,34.0,173.58432080149652
codon_freq_TAA,40.0,155.35359890460967
codon_freq_TAT,131.0,32.4741894364357
codon_freq_TAG,159.0,14.054404044151307
codon_freq_TAC,98.0,53.818974018096924
codon_freq_TTA,19.0,309.0122884273529
codon_freq_TTT,109.0,44.347944158315656
codon_freq_TTG,107.0,45.75970377922058
codon_freq_TTC,77.0,71.88849018812179
codon_freq_TGA,104.0,46.87970167398453
codon_freq_TGT,7.0,556.0219915628434
codon_freq_TGG,42.0,139.2873947918415
codon_freq_TGC,96.0,54.46652004718781
codon_freq_TCA,14.0,411.66140604019165
codon_freq_TCT,90.0,59.56993066072464
codon_freq_TCG,110.0,43.74017293453217
codon_freq_TCC,97.0,54.28440481424332
codon_freq_GAA,61.0,105.76067719459533
codon_freq_GAT,60.0,107.8702062368393
codon_freq_GAG,82.0,68.74399224519729
codon_freq_GAC,93.0,58.57015908956528
codon_freq_GTA,117.0,40.19769501686096
codon_freq_GTT,74.0,76.17450369596482
codon_freq_GTG,85.0,65.31490787267686
codon_freq_GTC,72.0,78.83291594386101
codon_freq_GGA,127.0,34.83746889829636
codon_freq_GGT,10.0,523.8618369936943
codon_freq_GGG,56.0,112.30156084299088
codon_freq_GGC,18.0,313.9261378645897
codon_freq_GCA,87.0,63.004969495534894
codon_freq_GCT,30.0,213.5779379248619
codon_freq_GCG,33.0,178.73602147102355
codon_freq_GCC,75.0,73.61368391513824
codon_freq_CAA,16.0,320.0751154541969
codon_freq_CAT,50.0,114.6692507982254
codon_freq_CAG,106.0,45.84292886257172
codon_freq_CAC,84.0,66.05216184854507
codon_freq_CTA,63.0,99.83714742064475
codon_freq_CTT,99.0,51.61173301339149
codon_freq_CTG,125.0,36.758371180295946
codon_freq_CTC,105.0,45.968150806427005
codon_freq_CGA,121.0,38.33073204755783
codon_freq_CGT,17.0,319.69010359048843
codon_freq_CGG,79.0,70.38847504854202
codon_freq_CGC,28.0,225.52574183940888
codon_freq_CCA,49.0,116.14695181846619
codon_freq_CCT,86.0,63.24834889173508
codon_freq_CCG,46.0,126.85389872789384
codon_freq_CCC,122.0,38.027826118469235
aa_freq_M,160.5,0.0
aa_freq_I,51.0,114.62309178113938
aa_freq_L,25.0,232.45523787736892
aa_freq_V,54.0,114.15889907479286
aa_freq_F,115.0,41.042325699329375
aa_freq_C,20.0,304.7751610159874
aa_freq_A,5.0,603.2690052390099
aa_freq_G,65.0,95.51137294769288
aa_freq_P,41.0,147.04554090499877
aa_freq_T,118.0,39.53569996356964
aa_freq_S,8.0,539.0566398382186
aa_freq_Y,88.0,61.60523955225945
aa_freq_W,160.5,0.0
aa_freq_Q,43.0,135.07977432012558
aa_freq_N,80.0,69.28807992935181
aa_freq_H,12.0,502.3727051258087
aa_freq_E,31.0,211.52328419089318
aa_freq_D,59.0,110.54521940946579
aa_freq_K,37.0,160.38923162221909
aa_freq_R,36.0,160.60980852246286
aa_freq_X,2.0,3556.468403029442
3mer_freq_5_AAA,156.0,17.237667965888978
3mer_freq_5_AAT,148.0,23.53404893875122
3mer_freq_5_AAG,137.0,30.006033897399902
3mer_freq_5_AAC,151.0,22.02391607761383
3mer_freq_5_ATA,147.0,23.979789435863495
3mer_freq_5_ATT,158.0,15.193981993198395
3mer_freq_5_ATG,3.0,2730.8096792399883
3mer_freq_5_ATC,112.0,42.55551801919937
3mer_freq_5_AGA,135.0,30.747195798158646
3mer_freq_5_AGT,136.0,30.194397020339967
3mer_freq_5_AGG,128.0,34.31577205657959
3mer_freq_5_AGC,111.0,42.65458308458328
3mer_freq_5_ACA,95.0,55.750017964839934
3mer_freq_5_ACT,140.0,27.286576950550078
3mer_freq_5_ACG,62.0,100.9032531261444
3mer_freq_5_ACC,133.0,31.281943172216415
3mer_freq_5_TAA,154.0,19.53847450017929
3mer_freq_5_TAT,149.0,22.468940007686616
3mer_freq_5_TAG,150.0,22.412748956680296
3mer_freq_5_TAC,157.0,16.535697960853575
3mer_freq_5_TTA,145.0,25.114121133089064
3mer_freq_5_TTT,67.0,88.2444118142128
3mer_freq_5_TTG,119.0,38.820994693040845
3mer_freq_5_TTC,23.0,241.1839031100273
3mer_freq_5_TGA,155.0,19.418846011161804
3mer_freq_5_TGT,146.0,24.727910017967226
3mer_freq_5_TGG,123.0,37.91075804233551
3mer_freq_5_TGC,129.0,34.04291205406189
3mer_freq_5_TCA,143.0,26.82177292108536
3mer_freq_5_TCT,91.0,59.401743745803834
3mer_freq_5_TCG,32.0,205.75876514911653
3mer_freq_5_TCC,124.0,37.317118191719054
3mer_freq_5_GAA,139.0,29.332382023334503
3mer_freq_5_GAT,142.0,27.014852893352508
3mer_freq_5_GAG,69.0,84.47181532382965
3mer_freq_5_GAC,144.0,25.310793042182922
3mer_freq_5_GTA,153.0,19.645981991291045
3mer_freq_5_GTT,89.0,59.72041819095612
3mer_freq_5_GTG,68.0,87.83413268923759
3mer_freq_5_GTC,130.0,33.91182597875595
3mer_freq_5_GGA,102.0,47.71431512236595
3mer_freq_5_GGT,132.0,32.36780216693878
3mer_freq_5_GGG,24.0,240.66269167661667
3mer_freq_5_GGC,21.0,287.4685242831707
3mer_freq_5_GCA,92.0,58.85713090896606
3mer_freq_5_GCT,120.0,38.456304079294206
3mer_freq_5_GCG,100.0,50.80667309761047
3mer_freq_5_GCC,58.0,110.66973825693131
3mer_freq_5_CAA,141.0,27.148174941539764
3mer_freq_5_CAT,138.0,29.365128761529924
3mer_freq_5_CAG,108.0,45.40834197998047
3mer_freq_5_CAC,101.0,50.55821495056152
3mer_freq_5_CTA,152.0,20.390282011032106
3mer_freq_5_CTT,57.0,111.09085651636124
3mer_freq_5_CTG,70.0,82.1926774740219
3mer_freq_5_CTC,103.0,47.60624694824219
3mer_freq_5_CGA,113.0,42.31467951536179
3mer_freq_5_CGT,53.0,114.18682509660721
3mer_freq_5_CGG,94.0,57.2265865623951
3mer_freq_5_CGC,73.0,77.09985996484757
3mer_freq_5_CCA,114.0,41.140075945854186
3mer_freq_5_CCT,134.0,30.870621860027313
3mer_freq_5_CCG,76.0,73.34300082921982
3mer_freq_5_CCC,29.0,222.37432506084443
