,rank,mean_importance
utr5_log_size,19.0,220.51688413619996
cds_log_size,1.0,7543.236601614952
utr3_log_size,55.0,78.74019789099694
tx_log_size,48.0,94.1609472811222
A_percent5,11.0,332.4873050689697
T_percent5,10.0,349.5444809734821
G_percent5,71.0,60.32093076705932
C_percent5,27.0,147.57401525378228
A_percent3,39.0,116.35147274136543
T_percent3,16.0,283.23948497772216
G_percent3,36.0,122.3230550289154
C_percent3,56.0,77.98640347719193
codon_freq_AAA,63.0,67.26277712583541
codon_freq_AAT,131.0,23.3912573158741
codon_freq_AAG,9.0,381.509894323349
codon_freq_AAC,52.0,81.94598801732063
codon_freq_ATA,49.0,91.31363818645477
codon_freq_ATT,85.0,48.311933600902556
codon_freq_ATG,18.0,228.50899633169175
codon_freq_ATC,24.0,152.4518959879875
codon_freq_AGA,35.0,125.03987848758698
codon_freq_AGT,41.0,112.46632704138756
codon_freq_AGG,14.0,287.1901075303555
codon_freq_AGC,43.0,106.86597943305969
codon_freq_ACA,89.0,42.54901300668716
codon_freq_ACT,103.0,33.472973603010175
codon_freq_ACG,117.0,28.220076072216035
codon_freq_ACC,58.0,75.15568596124649
codon_freq_TAA,57.0,75.5747279703617
codon_freq_TAT,135.0,22.010251343250275
codon_freq_TAG,158.0,9.174731981754302
codon_freq_TAC,66.0,63.4689772605896
codon_freq_TTA,44.0,106.61446844935418
codon_freq_TTT,123.0,26.215545856952666
codon_freq_TTG,128.0,25.403526949882508
codon_freq_TTC,88.0,43.755764877796175
codon_freq_TGA,143.0,19.922307670116425
codon_freq_TGT,25.0,151.4195732355118
codon_freq_TGG,23.0,152.65648968219756
codon_freq_TGC,64.0,66.22877095937729
codon_freq_TCA,42.0,111.81006424427032
codon_freq_TCT,101.0,34.68039985895157
codon_freq_TCG,97.0,36.69754594564438
codon_freq_TCC,92.0,38.98354150652885
codon_freq_GAA,124.0,26.150627076625824
codon_freq_GAT,37.0,120.05281555652618
codon_freq_GAG,74.0,58.75409517884255
codon_freq_GAC,115.0,28.37920501232147
codon_freq_GTA,113.0,29.280226349830627
codon_freq_GTT,82.0,51.63571084737778
codon_freq_GTG,84.0,49.994644570350644
