,rank,mean_importance
utr5_log_size,7.0,280.9459294974804
cds_log_size,1.0,5150.697682183981
utr3_log_size,22.0,114.75825772881508
tx_log_size,31.0,95.80226028561592
A_percent5,3.0,372.7006661593914
T_percent5,9.0,215.4873812198639
G_percent5,20.0,125.37665119171143
C_percent5,29.0,99.28772905468941
A_percent3,43.0,67.13531077504157
T_percent3,10.0,203.27812658548356
G_percent3,113.0,28.261800235509874
C_percent3,66.0,45.72225746512413
codon_freq_AAA,23.0,114.66453633010387
codon_freq_AAT,28.0,101.97468732595443
codon_freq_AAG,32.0,92.95152884721756
codon_freq_AAC,58.0,50.445743936300275
codon_freq_ATA,49.0,55.9742178440094
codon_freq_ATT,35.0,84.18834301233292
codon_freq_ATG,27.0,103.13523415327072
codon_freq_ATC,80.0,39.78504195809364
codon_freq_AGA,120.0,26.23336909711361
codon_freq_AGT,78.0,40.69363079071045
codon_freq_AGG,67.0,45.03755787014961
codon_freq_AGC,8.0,272.47425386309624
codon_freq_ACA,101.0,32.728253558278084
codon_freq_ACT,96.0,34.882022488117215
codon_freq_ACG,125.0,25.491294050216673
codon_freq_ACC,57.0,50.809905362129214
codon_freq_TAA,121.0,26.226565212011337
codon_freq_TAT,47.0,59.69586969614029
codon_freq_TAG,146.0,15.519440317153931
codon_freq_TAC,111.0,30.04830992817879
codon_freq_TTA,107.0,31.486990401148795
codon_freq_TTT,84.0,38.21565101742745
codon_freq_TTG,65.0,46.91914901137352
codon_freq_TTC,51.0,54.27118835449219
codon_freq_TGA,106.0,31.64433574080467
codon_freq_TGT,54.0,52.606412881612776
codon_freq_TGG,72.0,42.76316326856613
codon_freq_TGC,45.0,62.56644117832184
codon_freq_TCA,87.0,37.56461693644523
codon_freq_TCT,70.0,44.07858071923256
codon_freq_TCG,122.0,25.921774739027022
codon_freq_TCC,53.0,53.72682090401649
codon_freq_GAA,25.0,105.09605777859687
codon_freq_GAT,26.0,103.59944588541984
codon_freq_GAG,95.0,34.996858584880826
codon_freq_GAC,119.0,26.867433923482896
codon_freq_GTA,85.0,37.977985841035846
codon_freq_GTT,112.0,28.93683639764786
codon_freq_GTG,100.0,33.51894861161709
codon_freq_GTC,81.0,39.290978845953944
codon_freq_GGA,41.0,71.90987027287483
codon_freq_GGT,73.0,42.50908938348293
codon_freq_GGG,90.0,37.017931586503984
codon_freq_GGC,108.0,31.218234330415726
codon_freq_GCA,115.0,28.06261162161827
codon_freq_GCT,82.0,39.15847402215004
codon_freq_GCG,103.0,32.224093502759935
codon_freq_GCC,56.0,51.82782916426659
codon_freq_CAA,68.0,44.85984265208244
codon_freq_CAT,104.0,32.07742337584496
codon_freq_CAG,33.0,87.66058116555214
codon_freq_CAC,21.0,121.47645792365074
codon_freq_CTA,59.0,50.376862075924876
codon_freq_CTT,141.0,17.17511192560196
codon_freq_CTG,110.0,31.00697178840637
codon_freq_CTC,93.0,35.41616888046265
codon_freq_CGA,142.0,17.075932425260543
codon_freq_CGT,48.0,56.821924310922626
codon_freq_CGG,15.0,138.53512911200522
codon_freq_CGC,89.0,37.27460970282554
codon_freq_CCA,105.0,32.01189116239548
codon_freq_CCT,94.0,35.09852972626686
codon_freq_CCG,74.0,41.63093328475952
codon_freq_CCC,14.0,148.68545659184457
aa_freq_M,160.5,0.0
aa_freq_I,36.0,83.6438571035862
aa_freq_L,34.0,85.40847628712655
aa_freq_V,64.0,47.36719720363617
aa_freq_F,42.0,69.6190326988697
aa_freq_C,16.0,137.93214346766473
aa_freq_A,99.0,33.767813342809674
aa_freq_G,97.0,34.776796388626096
aa_freq_P,37.0,83.43413122296333
aa_freq_T,60.0,49.366558051109315
aa_freq_S,5.0,354.8094563961029
aa_freq_Y,38.0,83.18540825247764
aa_freq_W,160.5,0.0
aa_freq_Q,46.0,61.06217176318169
aa_freq_N,76.0,40.84566187262535
aa_freq_H,39.0,80.33380307257175
aa_freq_E,75.0,41.430736291408536
aa_freq_D,40.0,79.9057172268629
aa_freq_K,30.0,99.17635472416877
aa_freq_R,17.0,126.82392919957638
aa_freq_X,6.0,340.46049293875694
3mer_freq_5_AAA,127.0,24.531001010537146
3mer_freq_5_AAT,159.0,8.034152507781982
3mer_freq_5_AAG,147.0,15.347255098819733
3mer_freq_5_AAC,154.0,12.760563808679581
3mer_freq_5_ATA,143.0,16.15503290295601
3mer_freq_5_ATT,156.0,11.063046479225159
3mer_freq_5_ATG,2.0,873.3234731912613
3mer_freq_5_ATC,148.0,15.32313072681427
3mer_freq_5_AGA,133.0,20.851111364364623
3mer_freq_5_AGT,61.0,49.34154261350632
3mer_freq_5_AGG,129.0,22.25480098128319
3mer_freq_5_AGC,77.0,40.837002503871915
3mer_freq_5_ACA,124.0,25.502137997746466
3mer_freq_5_ACT,98.0,34.32553297281265
3mer_freq_5_ACG,44.0,66.16014370322227
3mer_freq_5_ACC,92.0,35.8246017485857
3mer_freq_5_TAA,152.0,13.36786971092224
3mer_freq_5_TAT,158.0,9.666450941562653
3mer_freq_5_TAG,149.0,15.041517972946167
3mer_freq_5_TAC,155.0,11.8542145550251
3mer_freq_5_TTA,157.0,10.425629621744156
3mer_freq_5_TTT,50.0,55.09195557832718
3mer_freq_5_TTG,83.0,38.77126091718674
3mer_freq_5_TTC,79.0,40.13428458571434
3mer_freq_5_TGA,144.0,15.779875093698502
3mer_freq_5_TGT,109.0,31.038004553318025
3mer_freq_5_TGG,145.0,15.526345020532608
3mer_freq_5_TGC,52.0,54.037861722707746
3mer_freq_5_TCA,132.0,21.648329377174377
3mer_freq_5_TCT,130.0,22.220504420995713
3mer_freq_5_TCG,128.0,23.867218059301376
3mer_freq_5_TCC,136.0,19.668934535980224
3mer_freq_5_GAA,62.0,47.500716948509215
3mer_freq_5_GAT,150.0,14.901937925815583
3mer_freq_5_GAG,139.0,18.77968487739563
3mer_freq_5_GAC,131.0,21.96899168789387
3mer_freq_5_GTA,71.0,42.92783526182175
3mer_freq_5_GTT,24.0,111.44949461817741
3mer_freq_5_GTG,126.0,25.048964989185333
3mer_freq_5_GTC,69.0,44.3133612036705
3mer_freq_5_GGA,153.0,12.991001963615417
3mer_freq_5_GGT,123.0,25.57595642209053
3mer_freq_5_GGG,12.0,164.22158380150796
3mer_freq_5_GGC,4.0,362.3662537992001
3mer_freq_5_GCA,116.0,27.288284265995024
3mer_freq_5_GCT,118.0,26.962924391031265
3mer_freq_5_GCG,102.0,32.27866864204407
3mer_freq_5_GCC,11.0,167.64318934082985
3mer_freq_5_CAA,151.0,14.167791837453843
3mer_freq_5_CAT,55.0,52.27676683366299
3mer_freq_5_CAG,63.0,47.407585537433626
3mer_freq_5_CAC,138.0,18.98424181342125
3mer_freq_5_CTA,140.0,18.211994165182112
3mer_freq_5_CTT,137.0,19.212915498018265
3mer_freq_5_CTG,86.0,37.81448913216591
3mer_freq_5_CTC,88.0,37.3565744638443
3mer_freq_5_CGA,114.0,28.066080594062804
3mer_freq_5_CGT,91.0,36.17248507738113
3mer_freq_5_CGG,18.0,126.25700033903122
3mer_freq_5_CGC,117.0,27.04871139228344
3mer_freq_5_CCA,134.0,20.5628191113472
3mer_freq_5_CCT,135.0,20.409476125240325
3mer_freq_5_CCG,19.0,125.65486283004284
3mer_freq_5_CCC,13.0,159.6806098282337
