,rank,mean_importance
utr5_log_size,26.0,297.5149992227554
cds_log_size,1.0,9384.901866889
utr3_log_size,31.0,221.0839839220047
tx_log_size,18.0,360.281553542614
A_percent5,65.0,87.50772398710251
T_percent5,99.0,60.1579351067543
G_percent5,109.0,52.02153791189194
C_percent5,72.0,76.1736782670021
A_percent3,49.0,125.71277307271957
T_percent3,25.0,298.3312356352806
G_percent3,56.0,113.58285804390907
C_percent3,50.0,125.35880810022354
codon_freq_AAA,44.0,136.42851783037185
codon_freq_AAT,120.0,41.55583004951477
codon_freq_AAG,11.0,614.7375504493714
codon_freq_AAC,59.0,106.41268445253372
codon_freq_ATA,29.0,252.48750200271607
codon_freq_ATT,102.0,58.39290096759796
codon_freq_ATG,30.0,225.37624835371972
codon_freq_ATC,21.0,320.41244918107986
codon_freq_AGA,16.0,415.2623119235039
codon_freq_AGT,13.0,556.8474085688591
codon_freq_AGG,10.0,648.4520421862602
codon_freq_AGC,86.0,68.44809492826462
codon_freq_ACA,63.0,93.32692790031433
codon_freq_ACT,89.0,65.32322769165039
codon_freq_ACG,96.0,61.425369071960446
codon_freq_ACC,69.0,78.93666007518769
codon_freq_TAA,36.0,183.51502116918564
codon_freq_TAT,74.0,74.49201579093933
codon_freq_TAG,139.0,33.889819860458374
codon_freq_TAC,73.0,75.13346210718154
codon_freq_TTA,27.0,289.8300058364868
codon_freq_TTT,64.0,89.91255164742469
codon_freq_TTG,122.0,40.58818384408951
codon_freq_TTC,98.0,60.68194593191147
codon_freq_TGA,126.0,39.37251397371292
codon_freq_TGT,9.0,649.8219579577446
codon_freq_TGG,57.0,109.49449290037155
codon_freq_TGC,60.0,100.50337899923325
codon_freq_TCA,6.0,783.9407783031463
codon_freq_TCT,61.0,97.25260816812515
codon_freq_TCG,87.0,68.21634720563888
codon_freq_TCC,113.0,49.14541490077973
codon_freq_GAA,68.0,84.43968503475189
codon_freq_GAT,58.0,107.41384276151658
codon_freq_GAG,94.0,63.14505180120468
codon_freq_GAC,82.0,70.61026544570923
codon_freq_GTA,147.0,26.627498817443847
codon_freq_GTT,123.0,40.444650971889494
codon_freq_GTG,54.0,120.24395307302476
codon_freq_GTC,53.0,120.7254723250866
codon_freq_GGA,124.0,40.35975497961044
codon_freq_GGT,17.0,368.16394727826116
codon_freq_GGG,55.0,117.87245056033134
codon_freq_GGC,8.0,669.5560250639916
codon_freq_GCA,78.0,71.98285006284713
codon_freq_GCT,41.0,150.41908812522888
codon_freq_GCG,12.0,595.2999319970608
codon_freq_GCC,80.0,71.1655459523201
codon_freq_CAA,14.0,523.6806368470192
codon_freq_CAT,19.0,351.332479763031
codon_freq_CAG,129.0,38.24216898679733
codon_freq_CAC,85.0,68.53860870599746
codon_freq_CTA,42.0,147.74561400413512
codon_freq_CTT,118.0,42.1373428940773
codon_freq_CTG,79.0,71.66235076189041
codon_freq_CTC,62.0,95.97546595335007
codon_freq_CGA,97.0,61.2910972237587
codon_freq_CGT,22.0,306.29811415672305
codon_freq_CGG,83.0,70.03789794445038
codon_freq_CGC,15.0,470.4218327522278
codon_freq_CCA,20.0,346.02019863128663
codon_freq_CCT,47.0,128.52767539024353
codon_freq_CCG,70.0,78.75907382965087
codon_freq_CCC,112.0,49.22909103631973
aa_freq_M,160.5,0.0
aa_freq_I,48.0,126.97567369937897
aa_freq_L,35.0,186.47513362169266
aa_freq_V,23.0,304.6067138314247
aa_freq_F,107.0,53.76184766292572
aa_freq_C,24.0,303.2988141655922
aa_freq_A,7.0,767.0292053818703
aa_freq_G,40.0,156.04521262645721
aa_freq_P,38.0,166.5847294449806
aa_freq_T,90.0,65.10020447969437
aa_freq_S,5.0,800.5726762294769
aa_freq_Y,100.0,59.008138108253476
aa_freq_W,160.5,0.0
aa_freq_Q,51.0,124.383315461874
aa_freq_N,67.0,85.46056704521179
aa_freq_H,4.0,873.255224096775
aa_freq_E,45.0,132.28717196583747
aa_freq_D,33.0,197.84117572307588
aa_freq_K,46.0,132.11434882879257
aa_freq_R,28.0,261.3203642964363
aa_freq_X,3.0,1172.641004192829
3mer_freq_5_AAA,148.0,26.365706074237824
3mer_freq_5_AAT,140.0,31.223986315727235
3mer_freq_5_AAG,125.0,39.51308010816574
3mer_freq_5_AAC,141.0,28.967686033248903
3mer_freq_5_ATA,158.0,13.979934024810792
3mer_freq_5_ATT,153.0,22.15648294687271
3mer_freq_5_ATG,2.0,3056.1318995654583
3mer_freq_5_ATC,116.0,43.53559339642525
3mer_freq_5_AGA,91.0,65.07410407066345
3mer_freq_5_AGT,138.0,34.04657284021378
3mer_freq_5_AGG,146.0,26.728118896484375
3mer_freq_5_AGC,92.0,64.3929591178894
3mer_freq_5_ACA,103.0,57.32691434621811
3mer_freq_5_ACT,156.0,18.352921998500825
3mer_freq_5_ACG,81.0,71.13239508867264
3mer_freq_5_ACC,132.0,36.84272296428681
3mer_freq_5_TAA,154.0,21.362585949897767
3mer_freq_5_TAT,142.0,28.101894009113312
3mer_freq_5_TAG,137.0,34.18530797958374
3mer_freq_5_TAC,159.0,13.521711933612824
3mer_freq_5_TTA,128.0,39.02631126642227
3mer_freq_5_TTT,66.0,85.58520547151565
3mer_freq_5_TTG,104.0,55.52527909278869
3mer_freq_5_TTC,34.0,194.26530500650406
3mer_freq_5_TGA,130.0,37.05196099281311
3mer_freq_5_TGT,150.0,25.110728979110718
3mer_freq_5_TGG,121.0,41.335022032260895
3mer_freq_5_TGC,127.0,39.08854006528854
3mer_freq_5_TCA,145.0,26.75385892391205
3mer_freq_5_TCT,101.0,58.49785405397415
3mer_freq_5_TCG,39.0,159.50705404877664
3mer_freq_5_TCC,149.0,26.095936048030854
3mer_freq_5_GAA,136.0,35.03775515556335
3mer_freq_5_GAT,155.0,19.531136059761046
3mer_freq_5_GAG,88.0,65.7635074019432
3mer_freq_5_GAC,152.0,24.427345156669617
3mer_freq_5_GTA,157.0,14.75622500181198
3mer_freq_5_GTT,111.0,50.554571598768234
3mer_freq_5_GTG,131.0,36.943233013153076
3mer_freq_5_GTC,75.0,74.25022619962692
3mer_freq_5_GGA,106.0,54.90204112529754
3mer_freq_5_GGT,135.0,36.13255797624588
3mer_freq_5_GGG,32.0,206.26804093122482
3mer_freq_5_GGC,52.0,120.76996526718139
3mer_freq_5_GCA,114.0,49.109775179624556
3mer_freq_5_GCT,151.0,24.70500992536545
3mer_freq_5_GCG,71.0,78.10285769701004
3mer_freq_5_GCC,93.0,63.91810532808304
3mer_freq_5_CAA,133.0,36.70147894620895
3mer_freq_5_CAT,108.0,52.74810477495193
3mer_freq_5_CAG,77.0,71.99998750686646
3mer_freq_5_CAC,110.0,51.95776011943817
3mer_freq_5_CTA,144.0,26.76929109096527
3mer_freq_5_CTT,84.0,68.92034885883331
3mer_freq_5_CTG,105.0,55.4691437959671
3mer_freq_5_CTC,134.0,36.279390001296996
3mer_freq_5_CGA,95.0,62.89333369731903
3mer_freq_5_CGT,37.0,169.99869351387025
3mer_freq_5_CGG,117.0,42.76848216056824
3mer_freq_5_CGC,76.0,72.3359992980957
3mer_freq_5_CCA,119.0,42.111303102970126
3mer_freq_5_CCT,143.0,27.980427932739257
3mer_freq_5_CCG,115.0,44.992850875854494
3mer_freq_5_CCC,43.0,143.38025529384612
