,bio_source,fold,nan_r2,masked_mse_loss,total_time(sec)
0,bio_source_MCF7,0,0.5010159465480628,0.4855293315997906,19.191598892211914
1,bio_source_MCF7,1,0.5487923619332125,0.42594975945199465,16.094080448150635
2,bio_source_MCF7,2,0.5069064239116879,0.49570838558095637,17.147429943084717
3,bio_source_MCF7,3,0.5507471915550898,0.445194520091392,15.982731103897095
4,bio_source_MCF7,4,0.5846085453886078,0.4004670722254958,16.04365086555481
5,bio_source_MCF7,5,0.5679244250091062,0.4050240747016534,15.854518175125122
6,bio_source_MCF7,6,0.5513915345517877,0.43637510725776624,16.223789930343628
7,bio_source_MCF7,7,0.504795438625415,0.44746648368343517,16.447669506072998
8,bio_source_MCF7,8,0.5104839176261,0.4009255111288797,15.943351745605469
9,bio_source_MCF7,9,0.5693658446277052,0.4252126772848465,15.857098579406738
10,bio_source_MCF7,mean,0.5396031629776774,0.436785292300621,16.478591918945312
