,rank,mean_importance
aa_freq_M,11.0,347.8450520396233
aa_freq_I,12.0,337.05059422552586
aa_freq_L,7.0,549.804958961904
aa_freq_V,16.0,251.38284490704535
aa_freq_F,21.0,171.22351682782173
aa_freq_C,4.0,689.3280682459474
aa_freq_A,15.0,274.3137306034565
aa_freq_G,14.0,299.9813692137599
aa_freq_P,8.0,521.8476505607366
aa_freq_T,20.0,216.92078458964824
aa_freq_S,2.0,1071.9309914276005
aa_freq_Y,19.0,229.52837664186956
aa_freq_W,18.0,236.76525060087442
aa_freq_Q,13.0,333.04129105359317
aa_freq_N,9.0,434.6122945964336
aa_freq_H,3.0,923.180181825161
aa_freq_E,17.0,244.03344423025845
aa_freq_D,10.0,433.3477276623249
aa_freq_K,6.0,577.4033487290144
aa_freq_R,5.0,678.3082123845816
aa_freq_X,1.0,8001.901874254644
