,bio_source,fold,nan_r2,masked_mse_loss,total_time(sec)
0,mean_te,0,0.4426741736037926,0.26339071506000106,2.336822032928467
1,mean_te,1,0.48693321746247475,0.24265918050942392,2.427173137664795
2,mean_te,2,0.44382015582333845,0.27388536021336124,2.3207614421844482
3,mean_te,3,0.5009866232106936,0.24159832077301327,2.3038744926452637
4,mean_te,4,0.4858980420427259,0.2491719154581295,2.2983241081237793
5,mean_te,5,0.4660551525793213,0.25055822166616165,2.309281349182129
6,mean_te,6,0.5073039388825713,0.23812934453292994,2.440807580947876
7,mean_te,7,0.4367798563032892,0.25226448362762316,2.2988626956939697
8,mean_te,8,0.44528872357089444,0.24293387339350636,2.345662832260132
9,mean_te,9,0.4856779260125639,0.242905742592439,2.3147542476654053
10,mean_te,mean,0.4701417809491666,0.24974971578265892,2.3396323919296265
