,rank,mean_importance
HALFLIFE,32.0,107.80432140827179
BASIC.INTRONLEN,72.0,33.83022968769073
BASIC.UTR5GC,48.0,65.4780805259943
BASIC.CDSGC,120.0,16.303714781999588
BASIC.UTR3GC,152.0,10.378549444675446
BASIC.ORFEXONDENSITY,41.0,88.90807974338531
BIOCHEMICAL.M6ACLIP.YTHDF2_HRSP12_KimPeaks,1469.5,0.0
BIOCHEMICAL.M6ACLIP.m6aJaffrey,123.0,15.378812003135682
BIOCHEMICAL.M6ACLIP.m6Am_Jaffrey,52.0,56.559731209278105
BIOCHEMICAL.M6ACLIP.m6A_Schwarz,371.0,3.2236703753471376
BIOCHEMICAL.M6ACLIP.m6A_HEK_Shu,387.0,3.053778791427612
BIOCHEMICAL.M6ACLIP.a6A_HeLa_Shu,1198.0,0.1458840012550354
BIOCHEMICAL.M6ACLIP.a6A_HEK293_Shu,930.0,0.6879418909549713
BIOCHEMICAL.M6ACLIP.He_WTAP,1469.5,0.0
BIOCHEMICAL.M6ACLIP.He_METTL14,1469.5,0.0
BIOCHEMICAL.M6ACLIP.He_METTL3,1151.0,0.21234099864959716
BIOCHEMICAL.M6ACLIP.m6a_H1T48_Chang,1136.0,0.23981759548187256
BIOCHEMICAL.M6ACLIP.m6a_H1T0_Chang,537.0,1.9564392924308778
BIOCHEMICAL.M6ACLIP.m6a_Chang,1141.0,0.23277599811553956
BIOCHEMICAL.ENCORI.ACIN1,332.0,3.803519695997238
BIOCHEMICAL.ENCORI.ADAR,749.0,1.1650517106056213
BIOCHEMICAL.ENCORI.AIFM1,267.0,4.90590238571167
BIOCHEMICAL.ENCORI.ALKBH5,1469.5,0.0
BIOCHEMICAL.ENCORI.ALYREF,1100.0,0.30823999643325806
BIOCHEMICAL.ENCORI.AUH,287.0,4.610743045806885
BIOCHEMICAL.ENCORI.BCCIP,730.0,1.2298976838588715
BIOCHEMICAL.ENCORI.BUD13,116.0,16.872841465473176
BIOCHEMICAL.ENCORI.CAPRIN1,27.0,125.05716902017593
BIOCHEMICAL.ENCORI.CBX7,1148.0,0.22249570488929749
BIOCHEMICAL.ENCORI.CELF2,687.0,1.3705900013446808
BIOCHEMICAL.ENCORI.CNBP,922.0,0.7074914872646332
BIOCHEMICAL.ENCORI.CPSF6,816.0,0.9651837110519409
BIOCHEMICAL.ENCORI.CSTF2T,279.0,4.719056409597397
BIOCHEMICAL.ENCORI.DDX3X,207.0,6.9420771420001985
BIOCHEMICAL.ENCORI.DDX42,503.0,2.091369903087616
BIOCHEMICAL.ENCORI.DDX54,74.0,30.411332082748412
BIOCHEMICAL.ENCORI.DGCR8,573.0,1.8171046912670135
BIOCHEMICAL.ENCORI.DHX9,249.0,5.499941742420196
BIOCHEMICAL.ENCORI.DICER1,1081.0,0.3489310026168823
BIOCHEMICAL.ENCORI.DIS3L2,1190.0,0.15242899656295777
BIOCHEMICAL.ENCORI.DKC1,554.0,1.8969305217266084
BIOCHEMICAL.ENCORI.EIF3A,1469.5,0.0
BIOCHEMICAL.ENCORI.EIF3B,1469.5,0.0
BIOCHEMICAL.ENCORI.EIF3D,1255.0,0.08443679809570312
BIOCHEMICAL.ENCORI.EIF3G,1469.5,0.0
BIOCHEMICAL.ENCORI.EIF4A1,1469.5,0.0
BIOCHEMICAL.ENCORI.EIF4A3,59.0,46.0727619767189
BIOCHEMICAL.ENCORI.EIF4G1,3.0,769.990573310852
BIOCHEMICAL.ENCORI.EIF4G2,707.0,1.2914596855640412
BIOCHEMICAL.ENCORI.ELAVL1,831.0,0.9298992156982422
BIOCHEMICAL.ENCORI.ELAVL3,164.0,9.683087360858917
BIOCHEMICAL.ENCORI.EWSR1,765.0,1.1219451904296875
BIOCHEMICAL.ENCORI.FAM120A,543.0,1.940762311220169
BIOCHEMICAL.ENCORI.FBL,34.0,103.04280815124511
BIOCHEMICAL.ENCORI.FKBP4,542.0,1.9422522723674773
BIOCHEMICAL.ENCORI.FMR1,39.0,90.88539686203003
BIOCHEMICAL.ENCORI.FTO,161.0,9.832150983810426
BIOCHEMICAL.ENCORI.FUS,473.0,2.309571498632431
BIOCHEMICAL.ENCORI.FXR1,132.0,13.693685925006866
BIOCHEMICAL.ENCORI.FXR2,419.0,2.8205363035202025
BIOCHEMICAL.ENCORI.GNL3,75.0,29.459091931581497
BIOCHEMICAL.ENCORI.GTF2F1,763.0,1.124159610271454
BIOCHEMICAL.ENCORI.HNRNPA1,140.0,13.007281017303466
BIOCHEMICAL.ENCORI.HNRNPA2B1,125.0,14.672054052352905
BIOCHEMICAL.ENCORI.HNRNPC,220.0,6.448643982410431
BIOCHEMICAL.ENCORI.HNRNPD,1135.0,0.2438960075378418
BIOCHEMICAL.ENCORI.HNRNPK,66.0,42.360015869140625
BIOCHEMICAL.ENCORI.HNRNPL,580.0,1.7898240983486176
BIOCHEMICAL.ENCORI.HNRNPM,350.0,3.508594000339508
BIOCHEMICAL.ENCORI.HNRNPU,274.0,4.774132823944091
BIOCHEMICAL.ENCORI.HNRNPUL1,545.0,1.9370673060417176
BIOCHEMICAL.ENCORI.IGF2BP1,215.0,6.615111243724823
BIOCHEMICAL.ENCORI.IGF2BP2,201.0,7.0396402955055235
BIOCHEMICAL.ENCORI.IGF2BP3,295.0,4.487362480163574
BIOCHEMICAL.ENCORI.ILF3,794.0,1.0389721035957336
BIOCHEMICAL.ENCORI.KHDRBS1,704.0,1.3004810035228729
BIOCHEMICAL.ENCORI.KHDRBS2,197.0,7.447948879003524
BIOCHEMICAL.ENCORI.KHDRBS3,739.0,1.1931175649166108
BIOCHEMICAL.ENCORI.KHSRP,519.0,2.025970298051834
BIOCHEMICAL.ENCORI.LARP4B,4.0,644.5616853296757
BIOCHEMICAL.ENCORI.LARP7,721.0,1.2513875842094422
BIOCHEMICAL.ENCORI.LIN28,697.0,1.3335906088352203
BIOCHEMICAL.ENCORI.LIN28A,43.0,81.38886111974716
BIOCHEMICAL.ENCORI.LIN28B,351.0,3.5032272398471833
BIOCHEMICAL.ENCORI.LSM11,455.0,2.4837428450584413
BIOCHEMICAL.ENCORI.MBNL1,70.0,38.2702146500349
BIOCHEMICAL.ENCORI.MBNL2,49.0,63.255720341205596
BIOCHEMICAL.ENCORI.METTL14,228.0,6.220167094469071
BIOCHEMICAL.ENCORI.METTL3,1194.0,0.14960600137710572
BIOCHEMICAL.ENCORI.MOV10,182.0,8.32734426856041
BIOCHEMICAL.ENCORI.MSI1,65.0,42.94221983850002
BIOCHEMICAL.ENCORI.MSI2,202.0,7.028791171312332
BIOCHEMICAL.ENCORI.NCBP3,1134.0,0.2444898009300232
BIOCHEMICAL.ENCORI.NONO,597.0,1.725758808851242
BIOCHEMICAL.ENCORI.NOP56,375.0,3.204549306631088
BIOCHEMICAL.ENCORI.NOP58,99.0,19.450080347061157
BIOCHEMICAL.ENCORI.NPM1,382.0,3.162173479795456
BIOCHEMICAL.ENCORI.NUMA1,437.0,2.6606322109699247
BIOCHEMICAL.ENCORI.PAPD5,1469.5,0.0
BIOCHEMICAL.ENCORI.PCBP2,716.0,1.2707846760749817
BIOCHEMICAL.ENCORI.PRPF8,17.0,216.63586436510087
BIOCHEMICAL.ENCORI.PTBP1,250.0,5.464766818284988
BIOCHEMICAL.ENCORI.PUM1,1469.5,0.0
BIOCHEMICAL.ENCORI.PUM2,158.0,10.157567578554154
BIOCHEMICAL.ENCORI.QKI,768.0,1.114753007888794
BIOCHEMICAL.ENCORI.RANGAP1,148.0,10.868175768852234
BIOCHEMICAL.ENCORI.RBFOX2,133.0,13.508366668224335
BIOCHEMICAL.ENCORI.RBM10,58.0,48.17846851944923
BIOCHEMICAL.ENCORI.RBM22,708.0,1.2841930031776427
BIOCHEMICAL.ENCORI.RBM27,619.0,1.6321061074733734
BIOCHEMICAL.ENCORI.RBM39,1469.5,0.0
BIOCHEMICAL.ENCORI.RBM47,35.0,103.0311258673668
BIOCHEMICAL.ENCORI.RBM5,628.0,1.606983298063278
BIOCHEMICAL.ENCORI.RBM6,63.0,44.416001808643344
BIOCHEMICAL.ENCORI.RC3H1,136.0,13.295956844091416
BIOCHEMICAL.ENCORI.RNF219,563.0,1.8701958894729613
BIOCHEMICAL.ENCORI.RTCB,102.0,18.689214640855788
BIOCHEMICAL.ENCORI.SAFB2,450.0,2.5347198724746702
BIOCHEMICAL.ENCORI.SBDS,107.0,18.30475969314575
BIOCHEMICAL.ENCORI.SF3A3,463.0,2.423878479003906
BIOCHEMICAL.ENCORI.SF3B4,77.0,29.187452483177186
BIOCHEMICAL.ENCORI.SLBP,355.0,3.383770966529846
BIOCHEMICAL.ENCORI.SLTM,750.0,1.16330788731575
BIOCHEMICAL.ENCORI.SMNDC1,289.0,4.538974320888519
BIOCHEMICAL.ENCORI.SND1,31.0,110.04631684422493
BIOCHEMICAL.ENCORI.SRSF1,163.0,9.745438897609711
BIOCHEMICAL.ENCORI.SRSF10,178.0,8.499153566360473
BIOCHEMICAL.ENCORI.SRSF3,118.0,16.747859650850295
BIOCHEMICAL.ENCORI.SRSF7,238.0,5.841313719749451
BIOCHEMICAL.ENCORI.SRSF9,887.0,0.7949907064437867
BIOCHEMICAL.ENCORI.TAF15,403.0,2.9562258243560793
BIOCHEMICAL.ENCORI.TARBP2,1180.0,0.17110520005226135
BIOCHEMICAL.ENCORI.TARDBP,390.0,3.0457985520362856
BIOCHEMICAL.ENCORI.TIA1,531.0,1.988940042257309
BIOCHEMICAL.ENCORI.TIAL1,64.0,44.00849991440773
BIOCHEMICAL.ENCORI.TNRC6A,1114.0,0.26927499771118163
BIOCHEMICAL.ENCORI.TRA2A,239.0,5.819822591543198
BIOCHEMICAL.ENCORI.TROVE2,800.0,1.0245608031749724
BIOCHEMICAL.ENCORI.U2AF1,398.0,2.995548224449158
BIOCHEMICAL.ENCORI.U2AF2,42.0,82.03842945694923
BIOCHEMICAL.ENCORI.UPF1,22.0,146.3948886871338
BIOCHEMICAL.ENCORI.VIM,812.0,0.9771209955215454
BIOCHEMICAL.ENCORI.WTAP,1469.5,0.0
BIOCHEMICAL.ENCORI.XRN2,643.0,1.5229420065879822
BIOCHEMICAL.ENCORI.YTHDC1,175.0,8.65387790799141
BIOCHEMICAL.ENCORI.YTHDC2,1469.5,0.0
BIOCHEMICAL.ENCORI.YTHDF1,191.0,7.854815793037415
BIOCHEMICAL.ENCORI.YTHDF2,692.0,1.3460537195205688
BIOCHEMICAL.ENCORI.YWHAG,1024.0,0.4551110029220581
BIOCHEMICAL.ENCORI.ZC3H7B,130.0,13.878120064735413
BIOCHEMICAL.ENCORI.ZFP36,356.0,3.358829003572464
BIOCHEMICAL.ENCORI.ZNF184,276.0,4.754206308722496
BIOCHEMICAL.eCLIP.GTF2F1.HepG2,1469.5,0.0
BIOCHEMICAL.eCLIP.DDX52.HepG2,1469.5,0.0
BIOCHEMICAL.eCLIP.BUD13.HepG2,1137.0,0.23921000957489014
BIOCHEMICAL.eCLIP.DGCR8.K562,1469.5,0.0
BIOCHEMICAL.eCLIP.CDC40.HepG2,1469.5,0.0
BIOCHEMICAL.eCLIP.KHDRBS1.K562,1469.5,0.0
BIOCHEMICAL.eCLIP.UTP3.K562,1469.5,0.0
BIOCHEMICAL.eCLIP.KHSRP.K562,1133.0,0.24549100399017335
BIOCHEMICAL.eCLIP.AKAP1.K562,912.0,0.7300062000751495
BIOCHEMICAL.eCLIP.NIP7.HepG2,1469.5,0.0
BIOCHEMICAL.eCLIP.TARDBP.K562,1469.5,0.0
BIOCHEMICAL.eCLIP.HNRNPU.HepG2,1469.5,0.0
BIOCHEMICAL.eCLIP.NKRF.HepG2,1035.0,0.4282071053981781
BIOCHEMICAL.eCLIP.HLTF.HepG2,342.0,3.592124718427658
BIOCHEMICAL.eCLIP.GNL3.K562,1469.5,0.0
BIOCHEMICAL.eCLIP.PRPF8.HepG2,832.0,0.928816306591034
BIOCHEMICAL.eCLIP.GEMIN5.K562,965.0,0.6075111091136932
BIOCHEMICAL.eCLIP.SBDS.K562,1469.5,0.0
BIOCHEMICAL.eCLIP.RBM15.HepG2,1469.5,0.0
BIOCHEMICAL.eCLIP.U2AF1.HepG2,1171.0,0.18785589933395386
BIOCHEMICAL.eCLIP.EIF3D.HepG2,1080.0,0.34914250373840333
BIOCHEMICAL.eCLIP.ZRANB2.K562,1469.5,0.0
BIOCHEMICAL.eCLIP.LIN28B.K562,1107.0,0.29164170026779174
BIOCHEMICAL.eCLIP.ILF3.HepG2,1469.5,0.0
BIOCHEMICAL.eCLIP.SF3B4.HepG2,1139.0,0.23677690625190734
BIOCHEMICAL.eCLIP.DDX3X.K562,11.0,302.99213648438456
BIOCHEMICAL.eCLIP.PUM1.K562,348.0,3.540705567598343
BIOCHEMICAL.eCLIP.PCBP1.HepG2,1469.5,0.0
BIOCHEMICAL.eCLIP.ZNF800.K562,1469.5,0.0
BIOCHEMICAL.eCLIP.FXR2.HepG2,254.0,5.373979324102402
BIOCHEMICAL.eCLIP.SDAD1.K562,1469.5,0.0
BIOCHEMICAL.eCLIP.SLTM.HepG2,1094.0,0.32803398966789243
BIOCHEMICAL.eCLIP.DHX30.K562,857.0,0.8754708051681519
BIOCHEMICAL.eCLIP.AARS.K562,1469.5,0.0
BIOCHEMICAL.eCLIP.BCCIP.HepG2,1469.5,0.0
BIOCHEMICAL.eCLIP.NOLC1.HepG2,1469.5,0.0
BIOCHEMICAL.eCLIP.SFPQ.HepG2,1469.5,0.0
BIOCHEMICAL.eCLIP.CSTF2T.HepG2,1042.0,0.4160835027694702
