,rank,mean_importance
codon_freq_AAA,29.0,146.48654408454894
codon_freq_AAT,35.0,113.65812727212906
codon_freq_AAG,9.0,519.3160243153573
codon_freq_AAC,20.0,221.79225097596645
codon_freq_ATA,39.0,100.27454140782356
codon_freq_ATT,28.0,148.26922162771226
codon_freq_ATG,7.0,557.282647627592
codon_freq_ATC,22.0,204.53801548182963
codon_freq_AGA,42.0,98.42524449527264
codon_freq_AGT,15.0,313.69740907549857
codon_freq_AGG,12.0,376.2242565214634
codon_freq_AGC,6.0,684.4464976608754
codon_freq_ACA,56.0,66.82293011546135
codon_freq_ACT,53.0,71.96700721383095
codon_freq_ACG,55.0,66.99268234968186
codon_freq_ACC,30.0,143.3691071510315
codon_freq_TAA,2.0,2120.382159471512
codon_freq_TAT,44.0,91.48501224517823
codon_freq_TAG,3.0,1394.0477171212435
codon_freq_TAC,32.0,128.75679589509963
codon_freq_TTA,23.0,203.70623488128186
codon_freq_TTT,62.0,52.11692076921463
codon_freq_TTG,64.0,50.68179044425487
codon_freq_TTC,43.0,92.11242602169514
codon_freq_TGA,1.0,2379.3045859634876
codon_freq_TGT,10.0,446.92594354450705
codon_freq_TGG,40.0,100.11347434818745
codon_freq_TGC,4.0,1147.8170841932297
codon_freq_TCA,8.0,533.839774236083
codon_freq_TCT,49.0,82.36819767951965
codon_freq_TCG,48.0,82.64772773385047
codon_freq_TCC,27.0,169.54969626665115
codon_freq_GAA,57.0,66.55380083918571
codon_freq_GAT,11.0,411.5310694307089
codon_freq_GAG,47.0,87.76556570529938
codon_freq_GAC,51.0,74.67902590036392
codon_freq_GTA,60.0,53.97014427781105
codon_freq_GTT,50.0,77.1821518778801
codon_freq_GTG,45.0,91.1957675397396
codon_freq_GTC,36.0,104.87229532003403
codon_freq_GGA,33.0,119.59974394738674
codon_freq_GGT,13.0,335.4907298088074
codon_freq_GGG,34.0,118.03637675344945
codon_freq_GGC,37.0,102.66951765716075
codon_freq_GCA,54.0,71.05977123379708
codon_freq_GCT,16.0,271.82222009599207
codon_freq_GCG,24.0,180.72537557184697
codon_freq_GCC,63.0,51.364460587501526
codon_freq_CAA,19.0,229.33329445123672
codon_freq_CAT,17.0,258.6239757090807
codon_freq_CAG,25.0,178.49624754786493
codon_freq_CAC,5.0,708.97316172719
codon_freq_CTA,41.0,99.62665535509586
codon_freq_CTT,58.0,61.91672074794769
codon_freq_CTG,38.0,101.12675497829915
codon_freq_CTC,31.0,136.61636299788952
codon_freq_CGA,61.0,52.48108147382736
codon_freq_CGT,26.0,173.08455416560173
codon_freq_CGG,14.0,314.2724147170782
codon_freq_CGC,59.0,60.36847764253616
codon_freq_CCA,21.0,217.69858878850937
codon_freq_CCT,46.0,90.65229467749596
codon_freq_CCG,52.0,74.05917956829072
codon_freq_CCC,18.0,239.19945203065873
