,rank,mean_importance
codon_freq_AAA,45.0,67.78635760545731
codon_freq_AAT,35.0,89.49582635462284
codon_freq_AAG,8.0,476.59419558644294
codon_freq_AAC,18.0,223.97118747234344
codon_freq_ATA,63.0,46.459322437644005
codon_freq_ATT,33.0,105.53797480762005
codon_freq_ATG,6.0,615.8046305269003
codon_freq_ATC,26.0,174.99886252880097
codon_freq_AGA,47.0,66.96474032402038
codon_freq_AGT,24.0,187.8135822594166
codon_freq_AGG,13.0,312.3874536752701
codon_freq_AGC,9.0,472.251389247179
codon_freq_ACA,64.0,45.88936243057251
codon_freq_ACT,77.0,36.99854644536972
codon_freq_ACG,85.0,31.39378955364227
codon_freq_ACC,37.0,86.84622907042504
codon_freq_TAA,3.0,1684.4730803132056
codon_freq_TAT,54.0,55.43274330496788
codon_freq_TAG,4.0,1050.0646421670913
codon_freq_TAC,39.0,81.11184329986573
codon_freq_TTA,32.0,114.50642199516297
codon_freq_TTT,98.0,24.700461268424988
codon_freq_TTG,86.0,29.955477780103685
codon_freq_TTC,53.0,56.4947779327631
codon_freq_TGA,2.0,1777.173504242301
codon_freq_TGT,10.0,389.94285399317744
codon_freq_TGG,75.0,39.21336544752121
codon_freq_TGC,5.0,753.7619680523873
codon_freq_TCA,11.0,368.5850900352001
codon_freq_TCT,76.0,38.707447421550754
codon_freq_TCG,25.0,183.03001281023026
codon_freq_TCC,36.0,88.96445022821426
codon_freq_GAA,108.0,22.25217044353485
codon_freq_GAT,16.0,278.19895388484
codon_freq_GAG,59.0,50.83127727508545
codon_freq_GAC,62.0,46.87859058380127
codon_freq_GTA,90.0,28.053355830907822
codon_freq_GTT,52.0,57.73771195411682
codon_freq_GTG,66.0,44.54100162982941
codon_freq_GTC,55.0,55.377901655435565
codon_freq_GGA,44.0,70.40830483436585
codon_freq_GGT,15.0,283.53682538866997
codon_freq_GGG,40.0,80.57319503426552
codon_freq_GGC,51.0,58.65053002536297
codon_freq_GCA,69.0,41.20160970985889
codon_freq_GCT,22.0,196.60046962201596
codon_freq_GCG,43.0,72.9961092531681
codon_freq_GCC,95.0,26.52122169137001
codon_freq_CAA,28.0,165.89985433220863
codon_freq_CAT,19.0,203.88914683163165
codon_freq_CAG,27.0,174.60639853477477
codon_freq_CAC,7.0,588.9373689770698
codon_freq_CTA,38.0,83.97896829247475
codon_freq_CTT,102.0,23.783601903915404
codon_freq_CTG,74.0,39.353106981515886
codon_freq_CTC,49.0,64.9849775671959
codon_freq_CGA,68.0,41.448464155197144
codon_freq_CGT,31.0,122.24618322253227
codon_freq_CGG,21.0,197.04490720629693
codon_freq_CGC,88.0,29.342418509721757
codon_freq_CCA,29.0,160.21030982136728
codon_freq_CCT,70.0,40.4180623292923
codon_freq_CCG,17.0,227.96189665794373
codon_freq_CCC,30.0,128.55214452147484
3mer_freq_5_AAA,119.0,16.189722096920015
3mer_freq_5_AAT,125.0,13.098983412981033
3mer_freq_5_AAG,67.0,43.8640654027462
3mer_freq_5_AAC,112.0,19.85489291548729
3mer_freq_5_ATA,124.0,14.643555125594139
3mer_freq_5_ATT,99.0,24.294686552882194
3mer_freq_5_ATG,1.0,3327.5975477308034
3mer_freq_5_ATC,105.0,22.967753219604493
3mer_freq_5_AGA,107.0,22.699014174938203
3mer_freq_5_AGT,92.0,27.700206142663955
3mer_freq_5_AGG,127.0,11.273000437021256
3mer_freq_5_AGC,58.0,53.444048607349394
3mer_freq_5_ACA,93.0,27.407640647888183
3mer_freq_5_ACT,79.0,36.721439906954764
3mer_freq_5_ACG,65.0,45.175616884231566
3mer_freq_5_ACC,109.0,21.06023640036583
3mer_freq_5_TAA,121.0,15.124889081716537
3mer_freq_5_TAT,116.0,16.909986501932146
3mer_freq_5_TAG,113.0,19.47721628844738
3mer_freq_5_TAC,128.0,9.32703685760498
3mer_freq_5_TTA,118.0,16.55414422750473
3mer_freq_5_TTT,72.0,39.78317956328392
3mer_freq_5_TTG,78.0,36.759540545940396
3mer_freq_5_TTC,46.0,67.21959884166718
3mer_freq_5_TGA,122.0,14.998266959190369
3mer_freq_5_TGT,96.0,25.998645570874213
3mer_freq_5_TGG,91.0,27.98006713986397
3mer_freq_5_TGC,104.0,23.249832499027253
3mer_freq_5_TCA,120.0,16.084455263614654
3mer_freq_5_TCT,80.0,36.47925182580948
3mer_freq_5_TCG,34.0,92.92881312966347
3mer_freq_5_TCC,114.0,17.949505084753035
3mer_freq_5_GAA,89.0,28.529922443628312
3mer_freq_5_GAT,115.0,17.784148675203323
3mer_freq_5_GAG,61.0,47.12805280685425
3mer_freq_5_GAC,111.0,19.996849542856218
3mer_freq_5_GTA,117.0,16.77656093835831
3mer_freq_5_GTT,50.0,64.74347878098487
3mer_freq_5_GTG,82.0,35.88012812137604
3mer_freq_5_GTC,81.0,36.405623036623
3mer_freq_5_GGA,94.0,27.389819422364234
3mer_freq_5_GGT,110.0,20.139276123046876
3mer_freq_5_GGG,14.0,299.090746563673
3mer_freq_5_GGC,12.0,358.3115044772625
3mer_freq_5_GCA,42.0,73.8874557673931
3mer_freq_5_GCT,123.0,14.660304009914398
3mer_freq_5_GCG,83.0,32.85586977005005
3mer_freq_5_GCC,20.0,201.76075779795647
3mer_freq_5_CAA,84.0,32.750823873281476
3mer_freq_5_CAT,71.0,40.317647382617
3mer_freq_5_CAG,87.0,29.787327313423155
3mer_freq_5_CAC,60.0,47.626916486024854
3mer_freq_5_CTA,126.0,11.573847103118897
3mer_freq_5_CTT,73.0,39.72783927321434
3mer_freq_5_CTG,100.0,24.015972477197646
3mer_freq_5_CTC,97.0,25.62904314994812
3mer_freq_5_CGA,56.0,55.3150335252285
3mer_freq_5_CGT,57.0,54.29235481023788
3mer_freq_5_CGG,48.0,66.03822632133961
3mer_freq_5_CGC,101.0,23.793624138832094
3mer_freq_5_CCA,106.0,22.752217525243758
3mer_freq_5_CCT,103.0,23.677792689204217
3mer_freq_5_CCG,41.0,76.3251654267311
3mer_freq_5_CCC,23.0,192.66439087986947
