,rank,mean_importance
utr5_log_size,8.0,328.7135879456997
cds_log_size,1.0,7625.515448394418
utr3_log_size,20.0,182.61231602430342
tx_log_size,50.0,54.15558744966984
codon_freq_AAA,32.0,91.99971918463707
codon_freq_AAT,31.0,98.85837982296944
codon_freq_AAG,6.0,355.7277906894684
codon_freq_AAC,19.0,184.1534959077835
codon_freq_ATA,57.0,43.9097008228302
codon_freq_ATT,36.0,84.38516095280647
codon_freq_ATG,10.0,312.70774851739407
codon_freq_ATC,23.0,161.83106874227525
codon_freq_AGA,42.0,69.41825284957886
codon_freq_AGT,24.0,134.98290450572966
codon_freq_AGG,11.0,280.2982537448406
codon_freq_AGC,7.0,344.2058891773224
codon_freq_ACA,77.0,30.10604519248009
codon_freq_ACT,81.0,27.85200721025467
codon_freq_ACG,94.0,23.625466454029084
codon_freq_ACC,35.0,84.86773054003716
codon_freq_TAA,27.0,115.94659675359726
codon_freq_TAT,62.0,40.54315127730369
codon_freq_TAG,130.0,8.961516624689102
codon_freq_TAC,43.0,67.74954334795476
codon_freq_TTA,30.0,101.79960026741028
codon_freq_TTT,106.0,18.16438695192337
codon_freq_TTG,96.0,23.13945276737213
codon_freq_TTC,67.0,39.27703199386597
codon_freq_TGA,97.0,22.898344311118127
codon_freq_TGT,12.0,262.3117338180542
codon_freq_TGG,56.0,46.166669166088106
codon_freq_TGC,16.0,219.04382182955743
codon_freq_TCA,15.0,224.23356711864471
codon_freq_TCT,73.0,31.066350328922272
codon_freq_TCG,107.0,17.967871803045274
codon_freq_TCC,44.0,65.01842460036278
codon_freq_GAA,99.0,21.576727563142775
codon_freq_GAT,4.0,426.41977044939995
codon_freq_GAG,74.0,30.904262602329254
codon_freq_GAC,49.0,54.19841293990612
codon_freq_GTA,104.0,18.766980880498885
codon_freq_GTT,61.0,40.94590110778809
codon_freq_GTG,68.0,38.61859378218651
codon_freq_GTC,63.0,40.48781546056271
codon_freq_GGA,48.0,57.40130796432495
codon_freq_GGT,14.0,231.53750839829445
codon_freq_GGG,41.0,71.86538857817649
codon_freq_GGC,52.0,52.2463742017746
codon_freq_GCA,78.0,29.698005479574203
codon_freq_GCT,21.0,181.72527620494367
codon_freq_GCG,53.0,49.21244401931763
codon_freq_GCC,103.0,19.086693865060806
codon_freq_CAA,26.0,120.96227189898491
codon_freq_CAT,22.0,177.8029820919037
codon_freq_CAG,37.0,80.1487213075161
codon_freq_CAC,3.0,475.0176744937897
codon_freq_CTA,46.0,63.96103650331497
