,rank,mean_importance
utr5_log_size,6.0,317.42751319408416
cds_log_size,1.0,7573.535112094879
utr3_log_size,18.0,175.3504761785269
tx_log_size,52.0,56.678165793418884
codon_freq_AAA,40.0,77.24401804208756
codon_freq_AAT,65.0,38.90931499004364
codon_freq_AAG,13.0,201.4926881492138
codon_freq_AAC,47.0,63.89712854921818
codon_freq_ATA,50.0,59.551602604985234
codon_freq_ATT,58.0,48.32115997672081
codon_freq_ATG,31.0,98.88053173720837
codon_freq_ATC,48.0,61.54554758667946
codon_freq_AGA,56.0,50.07484706938267
codon_freq_AGT,68.0,38.29740636944771
codon_freq_AGG,19.0,169.54854567646981
codon_freq_AGC,25.0,123.65828446745873
codon_freq_ACA,76.0,34.016687345504764
codon_freq_ACT,98.0,24.776901000738142
codon_freq_ACG,91.0,26.68771975636482
codon_freq_ACC,49.0,60.78374404907227
codon_freq_TAA,30.0,104.28783429265022
codon_freq_TAT,108.0,22.089874169230463
codon_freq_TAG,149.0,10.068892991542816
codon_freq_TAC,97.0,24.864426493644714
codon_freq_TTA,37.0,82.63663765788078
codon_freq_TTT,132.0,15.439394503831863
codon_freq_TTG,125.0,16.801216143369675
codon_freq_TTC,85.0,28.694790744781493
codon_freq_TGA,115.0,20.341928684711455
codon_freq_TGT,33.0,91.51355048120021
codon_freq_TGG,103.0,23.747215247154237
codon_freq_TGC,41.0,71.72442784905434
codon_freq_TCA,44.0,68.8465660393238
codon_freq_TCT,89.0,27.586634096503257
codon_freq_TCG,111.0,21.591639214754103
codon_freq_TCC,82.0,29.402396827936172
codon_freq_GAA,139.0,14.008600586652756
codon_freq_GAT,10.0,298.1685572564602
codon_freq_GAG,83.0,29.347076988220216
codon_freq_GAC,102.0,23.759872472286226
codon_freq_GTA,119.0,18.661454021930695
codon_freq_GTT,92.0,26.48886842131615
codon_freq_GTG,109.0,21.95149365067482
codon_freq_GTC,110.0,21.84332155585289
codon_freq_GGA,88.0,27.947410169243813
codon_freq_GGT,16.0,180.69569353461264
codon_freq_GGG,38.0,79.48086638748646
codon_freq_GGC,72.0,35.71382074356079
codon_freq_GCA,74.0,34.35855060815811
codon_freq_GCT,27.0,116.89670150279998
codon_freq_GCG,61.0,44.28775497674942
codon_freq_GCC,130.0,15.85281195640564
codon_freq_CAA,36.0,83.80702028870583
codon_freq_CAT,71.0,36.697748804092406
codon_freq_CAG,93.0,25.76779823899269
codon_freq_CAC,11.0,213.4281918466091
codon_freq_CTA,54.0,51.427346128225324
codon_freq_CTT,129.0,16.190551936626434
codon_freq_CTG,79.0,32.07698422074318
codon_freq_CTC,57.0,48.3907182842493
codon_freq_CGA,131.0,15.795196771621704
codon_freq_CGT,28.0,112.99772900342941
codon_freq_CGG,23.0,141.46262835860253
codon_freq_CGC,90.0,26.767189306020736
codon_freq_CCA,42.0,71.49803814291954
codon_freq_CCT,117.0,19.38286308646202
codon_freq_CCG,67.0,38.590351313352585
codon_freq_CCC,45.0,66.61368960738181
aa_freq_M,26.0,121.25494314432144
aa_freq_I,29.0,107.2593499660492
aa_freq_L,21.0,154.410285449028
aa_freq_V,34.0,89.31538670063019
aa_freq_F,96.0,25.180360889434816
aa_freq_C,8.0,298.4248990595341
aa_freq_A,80.0,31.124349230527876
aa_freq_G,60.0,45.09613202810287
aa_freq_P,22.0,142.1391710102558
aa_freq_T,64.0,39.38831394016743
aa_freq_S,3.0,565.1209918648004
aa_freq_Y,43.0,69.12961237430572
aa_freq_W,145.0,12.178631666302682
aa_freq_Q,24.0,133.28540235161782
aa_freq_N,12.0,205.09584624767302
aa_freq_H,4.0,516.2079592108727
aa_freq_E,70.0,37.234417140483856
aa_freq_D,20.0,162.24405075907708
aa_freq_K,17.0,175.6949204057455
aa_freq_R,7.0,302.53587810993196
aa_freq_X,153.0,0.0
3mer_freq_5_AAA,143.0,13.046724200248718
3mer_freq_5_AAT,150.0,9.394102716445923
3mer_freq_5_AAG,66.0,38.61056631207466
3mer_freq_5_AAC,95.0,25.31253501176834
3mer_freq_5_ATA,146.0,11.82518453001976
3mer_freq_5_ATT,124.0,16.937124341726303
3mer_freq_5_ATG,2.0,2244.570234629512
3mer_freq_5_ATC,134.0,15.12831421494484
3mer_freq_5_AGA,122.0,17.440121698379517
3mer_freq_5_AGT,112.0,21.4477736890316
3mer_freq_5_AGG,142.0,13.419250643253326
3mer_freq_5_AGC,75.0,34.33738778829574
3mer_freq_5_ACA,135.0,14.87264080643654
3mer_freq_5_ACT,87.0,28.45976260304451
3mer_freq_5_ACG,63.0,40.49656540155411
