,rank,mean_importance
utr5_log_size,9.0,297.91757320165635
cds_log_size,1.0,7625.501804491878
utr3_log_size,23.0,148.76226595938206
tx_log_size,45.0,61.905760645866394
A_percent5,14.0,244.77492799162866
T_percent5,26.0,140.19366450309752
G_percent5,59.0,43.853499525785445
C_percent5,32.0,103.38389638662338
A_percent3,56.0,49.75499912500381
T_percent3,3.0,432.94817966222763
G_percent3,24.0,143.67766139507293
C_percent3,41.0,69.8335773319006
codon_freq_AAA,55.0,50.68466967940331
codon_freq_AAT,38.0,78.19425382614136
codon_freq_AAG,6.0,370.70558174848554
codon_freq_AAC,21.0,177.8124506831169
codon_freq_ATA,57.0,46.7347187936306
codon_freq_ATT,39.0,77.90897513031959
codon_freq_ATG,11.0,289.22125685811045
codon_freq_ATC,20.0,177.96632348895074
codon_freq_AGA,36.0,80.86655040979386
codon_freq_AGT,25.0,141.38355057239534
codon_freq_AGG,12.0,280.89427385926246
codon_freq_AGC,7.0,321.25141379833224
codon_freq_ACA,96.0,21.6939788877964
codon_freq_ACT,95.0,22.08693199753761
codon_freq_ACG,82.0,26.603383076190948
codon_freq_ACC,40.0,75.34947789907456
codon_freq_TAA,35.0,82.18611080348492
codon_freq_TAT,81.0,27.086048382520676
codon_freq_TAG,125.0,12.093374359607697
codon_freq_TAC,44.0,62.43599627017975
codon_freq_TTA,31.0,112.84223739504814
codon_freq_TTT,112.0,16.41964117884636
codon_freq_TTG,85.0,24.07997133731842
codon_freq_TTC,63.0,41.871889942884444
codon_freq_TGA,91.0,22.877689135074615
codon_freq_TGT,13.0,273.13637428879736
codon_freq_TGG,60.0,42.69134233891964
codon_freq_TGC,18.0,192.86037272810935
codon_freq_TCA,15.0,235.60068320035936
codon_freq_TCT,73.0,30.622476115822792
codon_freq_TCG,133.0,10.92246909737587
codon_freq_TCC,49.0,58.637534362077716
codon_freq_GAA,98.0,20.832888358831404
codon_freq_GAT,5.0,382.20054478645324
codon_freq_GAG,79.0,27.562580913305283
codon_freq_GAC,51.0,55.05167322158813
codon_freq_GTA,108.0,18.476628747582435
codon_freq_GTT,69.0,37.3537726521492
codon_freq_GTG,66.0,38.29640091061592
codon_freq_GTC,54.0,50.843407118320464
codon_freq_GGA,58.0,45.137424325942995
codon_freq_GGT,16.0,214.42353397607803
codon_freq_GGG,42.0,64.19018463790417
codon_freq_GGC,53.0,53.40257021188736
codon_freq_GCA,80.0,27.233296591043473
codon_freq_GCT,22.0,166.40032315850257
codon_freq_GCG,68.0,37.687390089035034
codon_freq_GCC,104.0,19.38563068509102
codon_freq_CAA,29.0,128.36545515060425
codon_freq_CAT,19.0,182.990985673666
codon_freq_CAG,43.0,63.361310893297194
codon_freq_CAC,4.0,427.07806596755984
codon_freq_CTA,46.0,61.09131464958191
codon_freq_CTT,107.0,18.493146681785582
codon_freq_CTG,94.0,22.342889380455016
codon_freq_CTC,50.0,56.669791305065154
codon_freq_CGA,78.0,27.56992190480232
codon_freq_CGT,33.0,96.45245541334153
codon_freq_CGG,17.0,192.91346222758293
codon_freq_CGC,75.0,29.21477355957031
codon_freq_CCA,30.0,115.1328700363636
codon_freq_CCT,71.0,32.77731141448021
codon_freq_CCG,70.0,36.99068532586098
codon_freq_CCC,37.0,79.60277147293091
3mer_freq_5_AAA,137.0,9.895553570985793
3mer_freq_5_AAT,136.0,10.087899506092072
3mer_freq_5_AAG,116.0,14.793640077114105
3mer_freq_5_AAC,110.0,17.301675295829774
3mer_freq_5_ATA,129.0,11.950497663021087
3mer_freq_5_ATT,114.0,15.332025945186615
3mer_freq_5_ATG,2.0,2268.4156677424908
3mer_freq_5_ATC,117.0,14.690713453292847
3mer_freq_5_AGA,132.0,11.334425783157348
3mer_freq_5_AGT,109.0,17.344693967700003
3mer_freq_5_AGG,128.0,12.04345697760582
3mer_freq_5_AGC,83.0,25.93885948061943
3mer_freq_5_ACA,97.0,21.191731959581375
3mer_freq_5_ACT,100.0,19.75681499838829
3mer_freq_5_ACG,64.0,40.74403032660484
3mer_freq_5_ACC,120.0,13.11565729379654
3mer_freq_5_TAA,139.0,9.431517279148101
3mer_freq_5_TAT,118.0,14.332602328062057
3mer_freq_5_TAG,123.0,12.463028031587601
3mer_freq_5_TAC,138.0,9.582835131883622
3mer_freq_5_TTA,134.0,10.53313068151474
3mer_freq_5_TTT,47.0,60.635072028636934
3mer_freq_5_TTG,77.0,28.018868041038512
3mer_freq_5_TTC,52.0,54.80629140734673
3mer_freq_5_TGA,130.0,11.910472071170807
