,rank,mean_importance
utr5_log_size,8.0,294.97084308862685
cds_log_size,1.0,6838.687734872103
utr3_log_size,21.0,152.87003748118877
tx_log_size,57.0,46.51681553125381
A_percent5,14.0,217.12886827588082
T_percent5,28.0,125.31504905223846
G_percent5,61.0,41.53026230335236
C_percent5,33.0,100.51439201831818
A_percent3,62.0,41.48997189104557
T_percent3,6.0,419.94008432626725
G_percent3,26.0,132.29200375676155
C_percent3,46.0,66.03106661736965
codon_freq_AAA,54.0,48.93092921972275
codon_freq_AAT,87.0,27.782977306842803
codon_freq_AAG,13.0,221.6013357758522
codon_freq_AAC,45.0,66.65175073444843
codon_freq_ATA,51.0,57.45489099621773
codon_freq_ATT,73.0,37.240538585186
codon_freq_ATG,15.0,192.87833575606345
codon_freq_ATC,49.0,59.7733037173748
codon_freq_AGA,52.0,53.03459500670433
codon_freq_AGT,64.0,40.71905444264412
codon_freq_AGG,17.0,175.21033950448037
codon_freq_AGC,36.0,96.93687245249748
codon_freq_ACA,78.0,33.95981492400169
codon_freq_ACT,115.0,17.939599323272706
codon_freq_ACG,112.0,18.937928342819212
codon_freq_ACC,58.0,45.88370617032051
codon_freq_TAA,41.0,76.38410080075263
codon_freq_TAT,113.0,18.63737149834633
codon_freq_TAG,157.0,8.087105226516723
codon_freq_TAC,82.0,32.27640985250473
codon_freq_TTA,38.0,86.71885323524475
codon_freq_TTT,129.0,16.364725756645203
codon_freq_TTG,123.0,16.81793230175972
codon_freq_TTC,74.0,36.49070811867714
codon_freq_TGA,107.0,20.089108842611314
codon_freq_TGT,30.0,106.76252222061157
codon_freq_TGG,69.0,38.036367553472516
codon_freq_TGC,48.0,60.85439558625221
codon_freq_TCA,43.0,71.2279317677021
codon_freq_TCT,95.0,24.31605299115181
codon_freq_TCG,133.0,15.697690027952195
codon_freq_TCC,89.0,25.897311121225357
codon_freq_GAA,139.0,14.05531587600708
codon_freq_GAT,12.0,256.7311804831028
codon_freq_GAG,106.0,20.94812725186348
codon_freq_GAC,101.0,22.631739228963852
codon_freq_GTA,98.0,23.6845183044672
