,rank,mean_importance
utr5_log_size,8.0,297.49096820354464
cds_log_size,1.0,6843.109213036299
utr3_log_size,19.0,161.3990348547697
tx_log_size,56.0,50.42257880568504
A_percent5,18.0,165.1795133829117
T_percent5,38.0,85.48050985336303
G_percent5,88.0,27.978459966182708
C_percent5,43.0,75.67933554053306
A_percent3,59.0,45.671433699131015
T_percent3,6.0,418.0662807732821
G_percent3,26.0,130.10183664560319
C_percent3,51.0,57.092460536956786
codon_freq_AAA,64.0,39.54595493674278
codon_freq_AAT,81.0,30.85951030254364
codon_freq_AAG,14.0,225.09718950986863
codon_freq_AAC,47.0,65.02784345149993
codon_freq_ATA,55.0,52.25179181694985
codon_freq_ATT,67.0,37.7554658472538
codon_freq_ATG,15.0,194.4225751399994
codon_freq_ATC,49.0,61.142583745718
codon_freq_AGA,53.0,52.658146160840985
codon_freq_AGT,62.0,40.10807105898857
codon_freq_AGG,17.0,169.70730124711991
codon_freq_AGC,37.0,88.45029183030128
codon_freq_ACA,83.0,29.730894130468368
codon_freq_ACT,132.0,14.643374848365784
codon_freq_ACG,102.0,21.769814330339432
codon_freq_ACC,54.0,52.372688049077986
codon_freq_TAA,40.0,80.36337659955025
codon_freq_TAT,133.0,14.512522339820862
codon_freq_TAG,156.0,9.719140946865082
codon_freq_TAC,89.0,27.957867723703384
codon_freq_TTA,39.0,84.88634192347527
codon_freq_TTT,139.0,12.633175194263458
codon_freq_TTG,121.0,16.769183373451234
codon_freq_TTC,78.0,33.56495100557804
codon_freq_TGA,111.0,18.65111525654793
codon_freq_TGT,30.0,107.64190065562725
codon_freq_TGG,61.0,42.29798946082592
codon_freq_TGC,50.0,59.68657970428467
codon_freq_TCA,46.0,68.38353470563888
codon_freq_TCT,103.0,21.327928417921065
codon_freq_TCG,126.0,15.461606013774873
codon_freq_TCC,91.0,26.2759748339653
codon_freq_GAA,130.0,14.87258780002594
codon_freq_GAT,12.0,254.85711930394172
codon_freq_GAG,92.0,25.658676934242248
codon_freq_GAC,87.0,28.267102378606797
codon_freq_GTA,98.0,24.590496045351028
codon_freq_GTT,109.0,18.906568920612337
codon_freq_GTG,105.0,20.91191416978836
codon_freq_GTC,101.0,22.594540536403656
codon_freq_GGA,96.0,24.75799337029457
codon_freq_GGT,21.0,159.4845278143883
codon_freq_GGG,45.0,72.1056403040886
codon_freq_GGC,72.0,36.22637761235237
codon_freq_GCA,86.0,28.501637530326843
codon_freq_GCT,31.0,100.1201325237751
codon_freq_GCG,68.0,37.29722202420235
codon_freq_GCC,120.0,17.08322540521622
codon_freq_CAA,36.0,89.53867277503014
codon_freq_CAT,65.0,39.13434438705444
codon_freq_CAG,106.0,20.887049108743668
codon_freq_CAC,22.0,158.66994405984877
codon_freq_CTA,57.0,50.27366805374622
codon_freq_CTT,125.0,15.567697191238404
codon_freq_CTG,99.0,22.748984861373902
codon_freq_CTC,71.0,36.525205481052396
codon_freq_CGA,128.0,15.233716034889222
codon_freq_CGT,32.0,96.74605632424354
codon_freq_CGG,34.0,92.41591489911079
codon_freq_CGC,82.0,30.152324530482293
codon_freq_CCA,44.0,73.58450410366058
codon_freq_CCT,107.0,20.435459405183792
codon_freq_CCG,80.0,33.35067389011383
codon_freq_CCC,69.0,37.21803866028786
aa_freq_M,174.5,0.0
aa_freq_I,35.0,91.84833130836486
aa_freq_L,24.0,144.71106172800063
aa_freq_V,41.0,79.93980475366115
aa_freq_F,108.0,19.221160131692887
aa_freq_C,9.0,290.3075569152832
aa_freq_A,63.0,40.032911020517346
aa_freq_G,66.0,38.038945430517195
aa_freq_P,25.0,133.4665131509304
aa_freq_T,84.0,29.144094809889793
aa_freq_S,4.0,595.9593399047851
aa_freq_Y,48.0,62.02971606850624
aa_freq_W,174.5,0.0
aa_freq_Q,28.0,127.47771250605584
aa_freq_N,16.0,174.10938772559166
aa_freq_H,5.0,542.4108978569508
aa_freq_E,60.0,43.87022079825401
aa_freq_D,23.0,148.3278917789459
aa_freq_K,27.0,128.69615020155908
aa_freq_R,10.0,288.11103335022926
aa_freq_X,3.0,727.6674349069596
3mer_freq_5_AAA,157.0,9.369885939359666
3mer_freq_5_AAT,160.0,8.686269891262054
3mer_freq_5_AAG,117.0,17.301397103071213
3mer_freq_5_AAC,136.0,13.031234675645829
3mer_freq_5_ATA,142.0,12.376446801424027
3mer_freq_5_ATT,159.0,8.722843998670578
3mer_freq_5_ATG,2.0,2235.9159193754194
3mer_freq_5_ATC,137.0,12.803079271316529
3mer_freq_5_AGA,147.0,10.660543251037598
3mer_freq_5_AGT,140.0,12.580982530117035
3mer_freq_5_AGG,154.0,9.842757451534272
3mer_freq_5_AGC,97.0,24.59872449040413
3mer_freq_5_ACA,115.0,17.588883882761003
3mer_freq_5_ACT,116.0,17.5754705786705
3mer_freq_5_ACG,85.0,29.073373872041703
3mer_freq_5_ACC,144.0,11.633787393569946
3mer_freq_5_TAA,158.0,8.886174529790878
3mer_freq_5_TAT,141.0,12.398132574558257
3mer_freq_5_TAG,150.0,10.157065033912659
3mer_freq_5_TAC,166.0,6.085334503650666
3mer_freq_5_TTA,149.0,10.20532494187355
3mer_freq_5_TTT,58.0,47.280273735523224
3mer_freq_5_TTG,94.0,24.841329738497734
3mer_freq_5_TTC,70.0,36.97269281744957
3mer_freq_5_TGA,152.0,9.956438267230988
3mer_freq_5_TGT,131.0,14.864009827375412
3mer_freq_5_TGG,100.0,22.65901842713356
3mer_freq_5_TGC,127.0,15.236388379335404
3mer_freq_5_TCA,143.0,12.044887298345566
3mer_freq_5_TCT,114.0,18.143083381652833
3mer_freq_5_TCG,42.0,77.877888661623
3mer_freq_5_TCC,161.0,8.086960172653198
3mer_freq_5_GAA,148.0,10.219793701171875
3mer_freq_5_GAT,151.0,10.034843689203262
3mer_freq_5_GAG,110.0,18.715416634082793
3mer_freq_5_GAC,155.0,9.738427311182022
3mer_freq_5_GTA,123.0,15.851286506652832
3mer_freq_5_GTT,74.0,35.011488443613054
3mer_freq_5_GTG,113.0,18.256080430746078
3mer_freq_5_GTC,124.0,15.822518664598466
3mer_freq_5_GGA,145.0,11.27404652237892
3mer_freq_5_GGT,138.0,12.725168186426163
3mer_freq_5_GGG,11.0,264.0637497603893
3mer_freq_5_GGC,13.0,254.16445468068122
3mer_freq_5_GCA,77.0,33.68125672936439
3mer_freq_5_GCT,135.0,13.1909370303154
3mer_freq_5_GCG,118.0,17.271671164035798
3mer_freq_5_GCC,33.0,96.34053228497505
3mer_freq_5_CAA,146.0,11.028953886032104
3mer_freq_5_CAT,93.0,24.887223756313325
3mer_freq_5_CAG,119.0,17.207766085863113
3mer_freq_5_CAC,90.0,26.87044503688812
3mer_freq_5_CTA,162.0,7.8175780236721035
3mer_freq_5_CTT,75.0,34.523843824863434
3mer_freq_5_CTG,95.0,24.826640701293947
3mer_freq_5_CTC,112.0,18.330511796474457
3mer_freq_5_CGA,79.0,33.459729158878325
3mer_freq_5_CGT,76.0,34.21350919008255
3mer_freq_5_CGG,52.0,52.88857340812683
3mer_freq_5_CGC,104.0,21.26138902902603
3mer_freq_5_CCA,122.0,16.08194159269333
3mer_freq_5_CCT,129.0,15.161455231904984
3mer_freq_5_CCG,73.0,36.022698777914044
3mer_freq_5_CCC,29.0,122.83823332488537
struct_min_dG_UTR5,7.0,358.32429307103155
struct_n_hairpins_UTR5,167.0,4.8168140053749084
struct_n_bifurc_UTR5,171.0,0.9472352802753449
struct_n_bulges_UTR5,169.0,2.656651699542999
struct_start_stem_UTR5,134.0,13.567305493354798
struct_max_stem_len_UTR5,163.0,7.388151186704635
struct_max_loop_len_UTR5,164.0,6.829530161619187
struct_min_dG_CDS,20.0,159.9863584280014
struct_n_hairpins_CDS,173.0,0.30487900972366333
struct_n_bifurc_CDS,172.0,0.7006482958793641
struct_n_bulges_CDS,170.0,1.682929801940918
struct_start_stem_CDS,153.0,9.896281230449677
struct_max_stem_len_CDS,165.0,6.76532170176506
struct_max_loop_len_CDS,168.0,3.5008832097053526
