,rank,mean_importance
utr5_log_size,45.0,67.33164963126183
cds_log_size,1.0,6405.052834886313
utr3_log_size,22.0,145.8791341304779
tx_log_size,118.0,12.666395384073258
A_percent5,41.0,79.22377638220787
T_percent5,81.0,25.78053734302521
G_percent5,73.0,28.242395198345186
C_percent5,137.0,10.734496468305588
A_percent3,170.0,7.378029370307923
T_percent3,20.0,174.75102877020836
G_percent3,40.0,79.979113394022
C_percent3,175.0,7.1836449801921844
codon_freq_AAA,213.0,5.381440231204033
codon_freq_AAT,283.0,3.515589338541031
codon_freq_AAG,47.0,65.28956440389156
codon_freq_AAC,82.0,25.5707444190979
codon_freq_ATA,236.0,4.984834629297256
codon_freq_ATT,265.0,3.900383323431015
codon_freq_ATG,46.0,65.85781906843185
codon_freq_ATC,143.0,9.401061421632766
codon_freq_AGA,242.0,4.839751213788986
codon_freq_AGT,128.0,11.46251513361931
codon_freq_AGG,86.0,22.417744553089143
codon_freq_AGC,89.0,20.969637858867646
codon_freq_ACA,261.0,3.9840656936168672
codon_freq_ACT,257.0,4.147901892662048
codon_freq_ACG,293.0,3.3915379643440247
codon_freq_ACC,79.0,26.487876141071318
codon_freq_TAA,83.0,25.334228771924973
codon_freq_TAT,372.0,2.469986802339554
codon_freq_TAG,441.0,1.9108407139778136
codon_freq_TAC,107.0,15.094214844703675
codon_freq_TTA,180.0,6.903595918416977
codon_freq_TTT,186.0,6.664204889535904
codon_freq_TTG,171.0,7.352453511953354
codon_freq_TTC,235.0,5.02172281742096
codon_freq_TGA,207.0,5.6474386096000675
codon_freq_TGT,70.0,29.428758609294892
codon_freq_TGG,246.0,4.633688998222351
codon_freq_TGC,94.0,18.68222943544388
codon_freq_TCA,66.0,32.702815246582034
codon_freq_TCT,160.0,7.958631670475006
codon_freq_TCG,248.0,4.481121689081192
codon_freq_TCC,135.0,10.930640327930451
codon_freq_GAA,117.0,12.724291729927064
codon_freq_GAT,55.0,46.9019568502903
codon_freq_GAG,173.0,7.227589690685273
codon_freq_GAC,184.0,6.793863618373871
codon_freq_GTA,146.0,9.317630088329315
codon_freq_GTT,345.0,2.6731732189655304
codon_freq_GTG,218.0,5.28414893746376
codon_freq_GTC,145.0,9.331416416168214
codon_freq_GGA,155.0,8.446365118026733
codon_freq_GGT,131.0,11.158535981178284
codon_freq_GGG,95.0,18.48471747636795
codon_freq_GGC,144.0,9.397327637672424
codon_freq_GCA,169.0,7.481602609157562
codon_freq_GCT,88.0,21.17455275654793
codon_freq_GCG,112.0,13.56958465576172
codon_freq_GCC,324.0,2.940048098564148
codon_freq_CAA,183.0,6.803806188702583
codon_freq_CAT,217.0,5.296937096118927
codon_freq_CAG,110.0,14.942109543085099
codon_freq_CAC,58.0,44.21503819227219
codon_freq_CTA,93.0,19.40363832116127
codon_freq_CTT,296.0,3.383176624774933
codon_freq_CTG,300.0,3.3154444217681887
codon_freq_CTC,195.0,6.0685146927833555
codon_freq_CGA,334.0,2.793216288089752
codon_freq_CGT,196.0,5.981179016828537
codon_freq_CGG,72.0,28.515396642684937
codon_freq_CGC,101.0,16.874028235673904
codon_freq_CCA,63.0,36.26715476512909
codon_freq_CCT,149.0,9.042701476812363
codon_freq_CCG,174.0,7.219024908542633
codon_freq_CCC,116.0,12.788977479934692
aa_freq_M,1576.5,0.0
aa_freq_I,98.0,18.168809443712234
aa_freq_L,91.0,20.136207181215287
aa_freq_V,90.0,20.256568813323973
aa_freq_F,240.0,4.8581863105297085
aa_freq_C,37.0,82.48658609688282
aa_freq_A,122.0,12.12214897274971
aa_freq_G,106.0,15.246236890554428
aa_freq_P,59.0,44.09257764220238
aa_freq_T,150.0,8.993484297394753
aa_freq_S,21.0,162.62531899213792
aa_freq_Y,100.0,17.21739528179169
aa_freq_W,1576.5,0.0
aa_freq_Q,85.0,23.368171006441116
aa_freq_N,38.0,81.62626999616623
aa_freq_H,18.0,202.28501470685006
aa_freq_E,103.0,16.60246675610542
aa_freq_D,53.0,51.899828898906705
aa_freq_K,80.0,26.03219871520996
aa_freq_R,36.0,83.56613098978997
aa_freq_X,4.0,664.7544208824635
3mer_freq_5_AAA,386.0,2.2879938960075377
3mer_freq_5_AAT,421.0,2.0553914844989776
3mer_freq_5_AAG,453.0,1.85364630818367
3mer_freq_5_AAC,189.0,6.479073119163513
3mer_freq_5_ATA,846.0,0.6073399066925049
3mer_freq_5_ATT,338.0,2.745800405740738
3mer_freq_5_ATG,3.0,1601.973368537426
3mer_freq_5_ATC,340.0,2.7121315121650698
3mer_freq_5_AGA,445.0,1.877512526512146
3mer_freq_5_AGT,204.0,5.699910226464271
3mer_freq_5_AGG,509.0,1.5655161201953889
3mer_freq_5_AGC,172.0,7.338179588317871
3mer_freq_5_ACA,575.0,1.2084721088409425
3mer_freq_5_ACT,214.0,5.327661573886871
3mer_freq_5_ACG,515.0,1.5179742991924285
3mer_freq_5_ACC,274.0,3.708364188671112
3mer_freq_5_TAA,740.0,0.785499095916748
3mer_freq_5_TAT,394.0,2.2353577077388764
3mer_freq_5_TAG,454.0,1.8535444915294648
3mer_freq_5_TAC,577.0,1.19845409989357
3mer_freq_5_TTA,327.0,2.9043201088905333
