,rank,mean_importance
utr5_log_size,9.0,290.03420941233634
cds_log_size,1.0,7570.209033572673
utr3_log_size,19.0,155.19549218416213
tx_log_size,53.0,54.52883340120316
A_percent5,13.0,214.81190686225892
T_percent5,22.0,130.6818352520466
G_percent5,72.0,35.13860400915146
C_percent5,28.0,106.56424797177314
A_percent3,60.0,42.522464618086815
T_percent3,5.0,425.00057753920555
G_percent3,25.0,128.94509895443917
C_percent3,45.0,66.66497385501862
codon_freq_AAA,58.0,44.56460212469101
codon_freq_AAT,93.0,23.487886887788772
codon_freq_AAG,12.0,230.84153287410737
codon_freq_AAC,46.0,66.1861384242773
codon_freq_ATA,51.0,59.433404731750485
codon_freq_ATT,70.0,35.82763849496841
codon_freq_ATG,29.0,103.19562014937401
codon_freq_ATC,47.0,65.70917055010796
codon_freq_AGA,52.0,57.835545933246614
codon_freq_AGT,61.0,41.717754846811296
codon_freq_AGG,15.0,180.47547801136972
codon_freq_AGC,31.0,101.29710364341736
codon_freq_ACA,77.0,32.52253230214119
codon_freq_ACT,103.0,21.04597689509392
codon_freq_ACG,120.0,17.189193254709245
codon_freq_ACC,54.0,52.84343301057815
codon_freq_TAA,40.0,80.82356098294258
codon_freq_TAT,123.0,16.636559069156647
codon_freq_TAG,154.0,9.360309451818466
codon_freq_TAC,84.0,28.37036521434784
codon_freq_TTA,38.0,88.69976804256439
codon_freq_TTT,141.0,13.629673254489898
codon_freq_TTG,117.0,17.787489777803422
codon_freq_TTC,66.0,38.86330580115318
codon_freq_TGA,106.0,20.790468549728395
codon_freq_TGT,33.0,99.97835010886192
codon_freq_TGG,89.0,25.652873903512955
codon_freq_TGC,48.0,65.38408589959144
codon_freq_TCA,42.0,77.35233013033867
codon_freq_TCT,111.0,19.509752252697943
codon_freq_TCG,140.0,13.658779472112656
codon_freq_TCC,87.0,26.278680992126464
codon_freq_GAA,122.0,16.772955301404
codon_freq_GAT,11.0,259.3754859238863
codon_freq_GAG,104.0,20.94088128209114
codon_freq_GAC,95.0,22.911513870954515
codon_freq_GTA,94.0,23.21232065856457
codon_freq_GTT,107.0,20.6578407227993
codon_freq_GTG,101.0,21.72498751580715
codon_freq_GTC,86.0,27.06892964243889
codon_freq_GGA,88.0,26.23149539232254
codon_freq_GGT,17.0,169.19477921128274
codon_freq_GGG,44.0,69.20074047148228
codon_freq_GGC,75.0,34.21478484272957
codon_freq_GCA,85.0,28.314174234867096
codon_freq_GCT,34.0,98.38246167600155
codon_freq_GCG,63.0,40.16735661625862
codon_freq_GCC,112.0,19.11583874821663
codon_freq_CAA,37.0,94.96307460069656
codon_freq_CAT,79.0,31.120184224843978
codon_freq_CAG,113.0,18.856195950508116
codon_freq_CAC,16.0,171.25720255970955
codon_freq_CTA,56.0,49.8826430529356
codon_freq_CTT,131.0,15.610764276981353
codon_freq_CTG,90.0,23.644473189115523
codon_freq_CTC,65.0,39.194007432460786
codon_freq_CGA,126.0,16.45717127919197
codon_freq_CGT,36.0,96.17411788105964
codon_freq_CGG,30.0,102.77589402794838
codon_freq_CGC,82.0,30.601584762334824
codon_freq_CCA,43.0,76.86608857512473
codon_freq_CCT,102.0,21.578681403398512
codon_freq_CCG,64.0,39.49197236299515
codon_freq_CCC,68.0,37.317674374580385
dicodon_freq_AGGCGA,166.0,1.8531320989131927
dicodon_freq_AGGCGG,175.0,0.3376237988471985
dicodon_freq_ATACGA,174.0,0.39249080419540405
dicodon_freq_ATACGG,179.5,0.0
dicodon_freq_CGAATA,177.0,0.11715199947357177
dicodon_freq_CGACCG,179.5,0.0
dicodon_freq_CGACGA,179.5,0.0
dicodon_freq_CGACGG,165.0,2.358765277266502
dicodon_freq_CGACTG,169.0,0.9716678977012634
dicodon_freq_CGAGCG,163.0,4.809698843955994
dicodon_freq_CTCATA,173.0,0.44072300791740415
dicodon_freq_CTCCCG,164.0,2.7973757117986677
dicodon_freq_CTGATA,170.0,0.6890330076217651
dicodon_freq_CTGCCG,167.0,1.8107510328292846
dicodon_freq_CTGCGA,171.0,0.6160940051078796
dicodon_freq_CTGCTG,162.0,6.445566344261169
dicodon_freq_CTTCTG,160.0,6.710312217473984
dicodon_freq_GTACCG,176.0,0.1196179986000061
dicodon_freq_GTACGA,168.0,1.2535854935646058
dicodon_freq_GTGCGA,172.0,0.5891190052032471
aa_freq_M,32.0,100.07428682446479
aa_freq_I,35.0,97.02591413259506
aa_freq_L,21.0,140.75844369530677
aa_freq_V,39.0,83.36151550412178
aa_freq_F,97.0,22.549149996042253
aa_freq_C,7.0,292.83912248015406
aa_freq_A,78.0,32.43361931145191
aa_freq_G,67.0,37.970645195245744
aa_freq_P,24.0,129.08111135959626
aa_freq_T,83.0,30.150559240579604
aa_freq_S,3.0,587.3534225344658
aa_freq_Y,49.0,63.591941052675246
aa_freq_W,156.0,8.375681442022323
aa_freq_Q,27.0,121.23996617794037
aa_freq_N,14.0,185.35404838323592
aa_freq_H,4.0,542.7326049566269
aa_freq_E,69.0,35.94811850786209
aa_freq_D,18.0,159.58289143443108
aa_freq_K,20.0,147.39799532294273
aa_freq_R,8.0,292.62203980088236
aa_freq_X,179.5,0.0
3mer_freq_5_AAA,158.0,7.9616833329200745
3mer_freq_5_AAT,155.0,8.83314781188965
3mer_freq_5_AAG,124.0,16.576018691062927
3mer_freq_5_AAC,134.0,14.787232384085655
3mer_freq_5_ATA,146.0,11.991470900177955
3mer_freq_5_ATT,139.0,14.146962153911591
3mer_freq_5_ATG,2.0,2231.123863041401
3mer_freq_5_ATC,142.0,13.268709802627564
3mer_freq_5_AGA,148.0,11.122999489307404
3mer_freq_5_AGT,128.0,16.326349878311156
3mer_freq_5_AGG,144.0,12.738055098056794
3mer_freq_5_AGC,96.0,22.71557474732399
3mer_freq_5_ACA,118.0,17.552395683526992
3mer_freq_5_ACT,127.0,16.44770728945732
3mer_freq_5_ACG,76.0,33.560789230465886
3mer_freq_5_ACC,135.0,14.350302597880363
3mer_freq_5_TAA,150.0,10.270858114957809
3mer_freq_5_TAT,149.0,10.729312026500702
3mer_freq_5_TAG,143.0,13.13610013127327
3mer_freq_5_TAC,161.0,6.5737720131874084
3mer_freq_5_TTA,129.0,16.078963273763655
3mer_freq_5_TTT,55.0,50.495073997974394
3mer_freq_5_TTG,92.0,23.497647589445116
3mer_freq_5_TTC,57.0,48.116901215910914
3mer_freq_5_TGA,147.0,11.875403553247452
3mer_freq_5_TGT,115.0,18.320820218324663
3mer_freq_5_TGG,110.0,19.638036906719208
3mer_freq_5_TGC,121.0,16.94138694405556
3mer_freq_5_TCA,136.0,14.28571126461029
3mer_freq_5_TCT,100.0,21.82010323703289
3mer_freq_5_TCG,41.0,79.0564402192831
3mer_freq_5_TCC,151.0,10.22834370136261
3mer_freq_5_GAA,138.0,14.18239598274231
3mer_freq_5_GAT,152.0,10.048443806171417
3mer_freq_5_GAG,105.0,20.819463467597963
3mer_freq_5_GAC,157.0,8.183328342437743
3mer_freq_5_GTA,116.0,18.206957590579986
3mer_freq_5_GTT,59.0,43.040673553943634
3mer_freq_5_GTG,91.0,23.564863350987434
3mer_freq_5_GTC,109.0,19.78806354403496
3mer_freq_5_GGA,153.0,9.408693301677705
3mer_freq_5_GGT,132.0,15.330273920297623
3mer_freq_5_GGG,10.0,290.026792293787
3mer_freq_5_GGC,6.0,316.7870707154274
3mer_freq_5_GCA,80.0,30.950783717632294
3mer_freq_5_GCT,133.0,15.234634792804718
3mer_freq_5_GCG,108.0,20.178997534513474
3mer_freq_5_GCC,26.0,124.76318072080612
3mer_freq_5_CAA,145.0,12.457895278930664
3mer_freq_5_CAT,98.0,22.403069645166397
3mer_freq_5_CAG,119.0,17.545340275764467
3mer_freq_5_CAC,81.0,30.771982300281525
3mer_freq_5_CTA,159.0,7.356628292798996
3mer_freq_5_CTT,74.0,34.35972681641579
3mer_freq_5_CTG,114.0,18.79029638171196
3mer_freq_5_CTC,99.0,22.29186111688614
3mer_freq_5_CGA,73.0,34.4075747191906
3mer_freq_5_CGT,71.0,35.55331137180328
3mer_freq_5_CGG,50.0,60.52634880542755
3mer_freq_5_CGC,130.0,16.03928302526474
3mer_freq_5_CCA,125.0,16.479151886701583
3mer_freq_5_CCT,137.0,14.233769166469575
3mer_freq_5_CCG,62.0,41.40823990702629
3mer_freq_5_CCC,23.0,129.33792700469493
