fold,on_NA_lgbm-3mer_freq_5,on_NA_lgbm-AAF,on_NA_lgbm-ALL_FEATURES,on_NA_lgbm-Biochem,on_NA_lgbm-CF,on_NA_lgbm-CF_3mer_freq_5,on_NA_lgbm-LL_CF_3mer_freq_5,on_NA_lgbm-LL_CF_AAF_3mer_freq_5,on_NA_lgbm-LL_P5_P3_CF_3mer_freq_5,on_NA_lgbm-LL_P5_P3_CF_AAF_3mer_freq_5,on_NA_lgbm-LL_P5_P3_CF_AAF_3mer_freq_5_Struct,on_NA_lgbm-LL_P5_P3_CF_AAF_3mer_freq_5_Struct_Biochem,on_NA_lgbm-LL_P5_P3_CF_AAF_DCF_3mer_freq_5
0,0.208546729568678,0.4426741736037926,0.5542801063470459,0.6257930108924252,0.4438948917227716,0.5204960166712409,0.5358686346390744,0.5434071095257564,0.552979409144829,0.5502709319252385,0.5568238782973349,0.7219682877814704,0.5507054667146531
1,0.2374235467276036,0.4869332174624747,0.6074623827054353,0.6506875579582238,0.4965530842115234,0.5768206122013653,0.5872243902252399,0.5918358208289146,0.6046355486269361,0.6042297818481047,0.613612015487014,0.7625663656172175,0.6077567562254251
2,0.206358290757893,0.4438201558233384,0.5581192316316801,0.6150880413193522,0.4451989426445074,0.5402978243623493,0.5465835445392169,0.5599013231166607,0.5589516864709518,0.5592697205752724,0.567414581053863,0.7395776367428144,0.5645299813555189
3,0.222351388833806,0.5009866232106936,0.6126053633446491,0.6675141587347039,0.5049726622703302,0.5699646947599621,0.5838150963174236,0.5853212574470998,0.581553730820727,0.5993801312023659,0.6015077310257244,0.7709331433300514,0.6066837214992992
4,0.236736365383949,0.4858980420427259,0.6160780202630134,0.6560806502161367,0.4979782216940698,0.6114681949078592,0.6063449971436428,0.6223276468380621,0.6159350828212901,0.6194537511275815,0.6256718573737392,0.7716061481667914,0.6194096362046881
5,0.2372267692561303,0.4660551525793213,0.5908587841938899,0.6346329843160581,0.4903795171995317,0.5790863330109768,0.5871540246351301,0.5904565645875511,0.5895665494010388,0.5977169336341591,0.6024731892677897,0.7493037932245541,0.5972602652326572
6,0.2263163533864534,0.5073039388825713,0.6108751339260368,0.6475553412324664,0.5200667886794668,0.581778450108158,0.5919309090427676,0.6039189287174894,0.6053627810151123,0.6150601622885233,0.6135461958781212,0.7556034498411706,0.6073211808986185
7,0.2373995928238654,0.4367798563032892,0.5879456722198971,0.6388451279089153,0.4558314474806328,0.5471240175974563,0.5563874347915745,0.5623561452716572,0.5613085632218042,0.574001447006075,0.562104387806524,0.7365208166368157,0.5745417617122281
8,0.2136257952322733,0.4452887235708944,0.5795208484302697,0.6349972569319482,0.4747762068203411,0.5670108346026803,0.5749520204208154,0.5896915879559773,0.5870614620479135,0.5917443892817804,0.5789717642751959,0.7474230254511279,0.5839174782014548
9,0.2577300406612535,0.4856779260125639,0.591139071526048,0.6716245612961551,0.4553315500059679,0.5611969664960359,0.5741190652880643,0.5866400671740563,0.5756188922587657,0.5820118195988029,0.5827028646369173,0.7626394892667787,0.5875665819884412
