,rank,mean_importance
utr5_log_size,10.0,384.11797105556803
cds_log_size,1.0,7364.06714041599
utr3_log_size,7.0,486.5489681384986
tx_log_size,11.0,381.1686937977996
A_percent5,29.0,204.0532809540818
T_percent5,46.0,157.27454857524438
G_percent5,88.0,78.02039270155792
C_percent5,76.0,100.89526074053366
A_percent3,36.0,180.24061435140388
T_percent3,5.0,511.21140422930443
G_percent3,25.0,218.33249407365352
C_percent3,23.0,241.25678987752033
codon_freq_AAA,6.0,508.50766213079794
codon_freq_AAT,67.0,114.18669818175745
codon_freq_AAG,9.0,407.86976570562473
codon_freq_AAC,62.0,121.76936968813969
codon_freq_ATA,69.0,112.8249482800689
codon_freq_ATT,40.0,174.18309908509255
codon_freq_ATG,56.0,133.74214380481575
codon_freq_ATC,41.0,173.68353177463706
codon_freq_AGA,42.0,169.70026655815823
codon_freq_AGT,64.0,117.20649597629716
codon_freq_AGG,21.0,251.28897340301472
codon_freq_AGC,19.0,272.9416012316565
codon_freq_ACA,92.0,71.3762357273811
codon_freq_ACT,107.0,61.243337120813656
codon_freq_ACG,116.0,50.34342507493647
codon_freq_ACC,48.0,154.10463633092144
codon_freq_TAA,71.0,110.39646958701218
codon_freq_TAT,85.0,80.8935353105204
codon_freq_TAG,158.0,22.99254375296303
codon_freq_TAC,94.0,69.98658826158771
codon_freq_TTA,39.0,176.46288791879823
codon_freq_TTT,98.0,68.25495797637143
codon_freq_TTG,109.0,57.368313860516004
codon_freq_TTC,82.0,86.41597954298877
codon_freq_TGA,122.0,47.20429180728484
codon_freq_TGT,35.0,182.29696678051465
codon_freq_TGG,79.0,88.74346578223042
codon_freq_TGC,53.0,139.7055020797479
codon_freq_TCA,51.0,149.34419428694852
codon_freq_TCT,99.0,66.56437862013715
codon_freq_TCG,112.0,55.73525748630113
codon_freq_TCC,65.0,116.18392169547232
codon_freq_GAA,43.0,167.62937222051468
codon_freq_GAT,16.0,298.9417107990271
codon_freq_GAG,75.0,101.35656886372385
codon_freq_GAC,86.0,79.6182759403428
codon_freq_GTA,117.0,49.488277863777135
codon_freq_GTT,87.0,78.37757856751544
codon_freq_GTG,89.0,75.97019539237778
codon_freq_GTC,90.0,74.11855048095879
codon_freq_GGA,96.0,69.15888705789288
codon_freq_GGT,18.0,287.1377703438077
codon_freq_GGG,57.0,132.64817854335791
codon_freq_GGC,70.0,112.57974538546574
codon_freq_GCA,101.0,65.06633259057999
codon_freq_GCT,28.0,205.93860214967518
codon_freq_GCG,38.0,179.1530982898006
codon_freq_GCC,77.0,97.95052034583273
codon_freq_CAA,37.0,179.70793639983557
codon_freq_CAT,61.0,124.9026780022096
codon_freq_CAG,97.0,68.89427013442486
codon_freq_CAC,27.0,209.1968465774497
codon_freq_CTA,84.0,83.78055605446991
codon_freq_CTT,102.0,64.47890068477467
codon_freq_CTG,68.0,114.083231571279
codon_freq_CTC,52.0,146.6459339256528
codon_freq_CGA,114.0,53.18783177676835
codon_freq_CGT,34.0,187.373142072068
codon_freq_CGG,47.0,155.5271083050891
codon_freq_CGC,66.0,114.23208550961712
codon_freq_CCA,60.0,125.25199430679218
codon_freq_CCT,95.0,69.77469520383998
codon_freq_CCG,55.0,138.29573327567005
codon_freq_CCC,3.0,699.1924500804158
aa_freq_M,73.0,108.1906640479459
aa_freq_I,26.0,214.51539772190625
aa_freq_L,30.0,198.2941152565087
aa_freq_V,49.0,150.59951933641221
aa_freq_F,72.0,108.9021420443737
aa_freq_C,13.0,350.0027417640897
aa_freq_A,54.0,139.45456488788884
aa_freq_G,50.0,150.03287880779067
aa_freq_P,17.0,296.3138323369283
aa_freq_T,81.0,86.68009715830978
aa_freq_S,4.0,613.5748644560953
aa_freq_Y,58.0,131.39198525540436
aa_freq_W,138.0,37.355562742639194
aa_freq_Q,45.0,162.82050153077404
aa_freq_N,33.0,187.4789762910031
