,rank,mean_importance
utr5_log_size,2.0,-0.09887768127693715
cds_log_size,1.0,-0.22919752815527406
utr3_log_size,27.0,0.027219318917660544
tx_log_size,119.0,0.0009974046094707845
A_percent5,9.0,0.05250626219154225
T_percent5,13.0,0.04323587059043153
G_percent5,151.0,0.0
C_percent5,132.0,0.00024784607561410615
A_percent3,29.0,-0.025466301186
T_percent3,8.0,0.05377888091284363
G_percent3,14.0,-0.043188394178007634
C_percent3,75.0,0.009593834335620343
codon_freq_AAA,74.0,-0.00976891446007479
codon_freq_AAT,151.0,0.0
codon_freq_AAG,7.0,0.05799807007183063
codon_freq_AAC,73.0,0.010427545530814758
codon_freq_ATA,43.0,-0.0187795572530116
codon_freq_ATT,47.0,0.016725372376236666
codon_freq_ATG,35.0,0.02154031632443035
codon_freq_ATC,44.0,0.017346429817603738
codon_freq_AGA,71.0,-0.010473378716405557
codon_freq_AGT,22.0,-0.031784680873692336
codon_freq_AGG,17.0,-0.037395052948796546
codon_freq_AGC,20.0,-0.03523904604758492
codon_freq_ACA,98.0,-0.004208627075352018
codon_freq_ACT,84.0,0.006574064118784542
codon_freq_ACG,111.0,-0.0015231122459922707
codon_freq_ACC,45.0,0.01734519269150419
codon_freq_TAA,4.0,0.08669823244802785
codon_freq_TAT,129.0,0.000298151463593703
codon_freq_TAG,11.0,0.0484375775544102
codon_freq_TAC,115.0,0.0012348733647832254
codon_freq_TTA,16.0,-0.041092026238772256
codon_freq_TTT,83.0,-0.006916209489743167
codon_freq_TTG,109.0,-0.0020156777367540102
codon_freq_TTC,87.0,0.0057910789135187345
codon_freq_TGA,5.0,0.07110837860335754
codon_freq_TGT,19.0,-0.035266681381710414
codon_freq_TGG,86.0,-0.006074316249836865
codon_freq_TGC,151.0,0.0
codon_freq_TCA,23.0,-0.030786536597001358
codon_freq_TCT,79.0,0.0077782051089749105
codon_freq_TCG,134.0,0.0001951221344876757
codon_freq_TCC,99.0,-0.0038422437251156407
codon_freq_GAA,61.0,0.012951982957251853
codon_freq_GAT,12.0,0.044495791892429415
codon_freq_GAG,104.0,-0.0029822245862296034
codon_freq_GAC,151.0,0.0
codon_freq_GTA,133.0,-0.0001997926956455593
codon_freq_GTT,52.0,0.01500958676018499
codon_freq_GTG,95.0,-0.0048988101201550725
codon_freq_GTC,57.0,0.01425923968194671
codon_freq_GGA,37.0,0.02110451958384227
codon_freq_GGT,24.0,0.03056551418761495
codon_freq_GGG,18.0,-0.03625580766806312
codon_freq_GGC,42.0,0.019050305361737137
codon_freq_GCA,138.0,7.909334649772947e-05
codon_freq_GCT,15.0,0.04178898128503923
codon_freq_GCG,28.0,0.02716851534310335
codon_freq_GCC,151.0,0.0
codon_freq_CAA,26.0,-0.03002457859988954
codon_freq_CAT,123.0,-0.00064632114644911
codon_freq_CAG,151.0,0.0
codon_freq_CAC,113.0,-0.0012653709936006458
codon_freq_CTA,34.0,-0.021845668398445053
codon_freq_CTT,81.0,0.007339589757708767
codon_freq_CTG,151.0,0.0
codon_freq_CTC,50.0,-0.01627028832835569
codon_freq_CGA,110.0,0.0017496429098058431
codon_freq_CGT,39.0,0.019646407369406142
codon_freq_CGG,10.0,-0.04999556986858373
codon_freq_CGC,70.0,0.010594827924692891
codon_freq_CCA,54.0,-0.014636154232516707
codon_freq_CCT,140.0,3.342909675716475e-05
codon_freq_CCG,116.0,0.0011932908690626507
codon_freq_CCC,40.0,-0.0191861026838588
aa_freq_M,53.0,0.014733016237405135
aa_freq_I,151.0,0.0
aa_freq_L,55.0,-0.014498741340082338
aa_freq_V,151.0,0.0
aa_freq_F,151.0,0.0
aa_freq_C,77.0,-0.008619745662058597
aa_freq_A,128.0,0.00035002165526015685
aa_freq_G,62.0,0.012918594155853478
aa_freq_P,151.0,0.0
aa_freq_T,151.0,0.0
aa_freq_S,96.0,-0.004541767866490385
aa_freq_Y,38.0,0.020568071690274442
aa_freq_W,151.0,0.0
aa_freq_Q,131.0,-0.00025820073265194886
aa_freq_N,25.0,0.03041720245295291
aa_freq_H,6.0,-0.06376007591445534
aa_freq_E,151.0,0.0
aa_freq_D,49.0,0.016335041665729376
aa_freq_K,151.0,0.0
aa_freq_R,151.0,0.0
aa_freq_X,60.0,-0.013129622981818866
