,rank,mean_importance
utr5_log_size,2.0,-0.09921892824417645
cds_log_size,1.0,-0.23010381372463962
utr3_log_size,28.0,0.027004466818913976
tx_log_size,112.0,0.0013829527341612732
A_percent5,9.0,0.053356905754246356
T_percent5,12.0,0.045367278866893
G_percent5,151.0,0.0
C_percent5,135.0,0.0001258187244062067
A_percent3,29.0,-0.0255866751762421
T_percent3,8.0,0.053873366034939175
G_percent3,14.0,-0.04324420696466298
C_percent3,74.0,0.009602919940597334
codon_freq_AAA,73.0,-0.009793176150122316
codon_freq_AAT,151.0,0.0
codon_freq_AAG,7.0,0.05808309957861772
codon_freq_AAC,71.0,0.010328785559907606
codon_freq_ATA,43.0,-0.01877198305042738
codon_freq_ATT,47.0,0.01674157973469019
codon_freq_ATG,30.0,0.025313107096227156
codon_freq_ATC,45.0,0.017356743016749616
codon_freq_AGA,70.0,-0.010444803882980129
codon_freq_AGT,23.0,-0.03189355828153526
codon_freq_AGG,17.0,-0.037405537526487044
codon_freq_AGC,18.0,-0.035436464785226815
codon_freq_ACA,97.0,-0.004168788091936428
codon_freq_ACT,83.0,0.00660186081461329
codon_freq_ACG,111.0,-0.0014914865080939558
codon_freq_ACC,44.0,0.017373717479656152
codon_freq_TAA,4.0,0.08647236855494875
codon_freq_TAT,129.0,0.00028439040661200316
codon_freq_TAG,11.0,0.048218292569191946
codon_freq_TAC,116.0,0.001176188122509898
codon_freq_TTA,16.0,-0.041212607326119
codon_freq_TTT,82.0,-0.006895576185507675
codon_freq_TTG,109.0,-0.002020295652362337
codon_freq_TTC,87.0,0.005756594131495365
codon_freq_TGA,5.0,0.07081249174783874
codon_freq_TGT,19.0,-0.03534328650834529
codon_freq_TGG,85.0,-0.006074321431492165
codon_freq_TGC,151.0,0.0
codon_freq_TCA,24.0,-0.030903518995000063
codon_freq_TCT,78.0,0.0076491349467059586
codon_freq_TCG,132.0,0.00018377282944385926
codon_freq_TCC,99.0,-0.003921054056056088
codon_freq_GAA,60.0,0.012939126045603568
codon_freq_GAT,13.0,0.04468971419673482
codon_freq_GAG,105.0,-0.002881821711581364
codon_freq_GAC,151.0,0.0
codon_freq_GTA,133.0,-0.00018140154428531108
codon_freq_GTT,52.0,0.01498630512727844
codon_freq_GTG,95.0,-0.0048782422118124145
codon_freq_GTC,56.0,0.014247945148965708
codon_freq_GGA,32.0,0.024589500799060398
