,rank,mean_importance
utr5_log_size,8.0,292.6809404671192
cds_log_size,1.0,7573.814214676619
utr3_log_size,19.0,154.2987323343754
tx_log_size,53.0,57.89911980032921
A_percent5,13.0,214.2476180791855
T_percent5,23.0,130.67524769306183
G_percent5,76.0,34.50545780062676
C_percent5,29.0,102.77120966315269
A_percent3,65.0,40.23104964494705
T_percent3,5.0,421.81087000072
G_percent3,22.0,132.77103880643844
C_percent3,48.0,65.27817476987839
codon_freq_AAA,58.0,43.97127097249031
codon_freq_AAT,90.0,26.115953147411346
codon_freq_AAG,12.0,232.6139771103859
codon_freq_AAC,46.0,66.1393241494894
codon_freq_ATA,50.0,61.80373256206512
codon_freq_ATT,68.0,38.496389377117154
codon_freq_ATG,28.0,105.88228238224983
codon_freq_ATC,49.0,62.766752642393115
codon_freq_AGA,52.0,58.19583796262741
codon_freq_AGT,59.0,42.86183810532093
codon_freq_AGG,15.0,177.8137160360813
codon_freq_AGC,34.0,96.71836438179017
codon_freq_ACA,80.0,32.172848504781726
codon_freq_ACT,93.0,24.50000588297844
codon_freq_ACG,112.0,19.65704925060272
codon_freq_ACC,54.0,55.9804526925087
codon_freq_TAA,41.0,78.1761860370636
codon_freq_TAT,118.0,17.588519740104676
codon_freq_TAG,150.0,10.736469608545303
codon_freq_TAC,86.0,29.307587385177612
codon_freq_TTA,38.0,90.2072980582714
codon_freq_TTT,138.0,14.101822423934937
codon_freq_TTG,117.0,18.1968314409256
codon_freq_TTC,70.0,37.450785553455354
codon_freq_TGA,108.0,20.678009951114653
codon_freq_TGT,35.0,96.34973403215409
codon_freq_TGG,84.0,30.162501591444016
codon_freq_TGC,47.0,65.67235902547836
codon_freq_TCA,42.0,77.68661311268806
codon_freq_TCT,96.0,23.328517466783524
codon_freq_TCG,130.0,15.920609599351883
codon_freq_TCC,92.0,25.212706005573274
codon_freq_GAA,121.0,17.376638054847717
codon_freq_GAT,11.0,254.9685162603855
codon_freq_GAG,113.0,19.419714903831483
codon_freq_GAC,88.0,26.687072730064394
codon_freq_GTA,100.0,22.1837689191103
codon_freq_GTT,101.0,21.849882447719573
codon_freq_GTG,99.0,22.851165610551835
codon_freq_GTC,89.0,26.682752722501753
codon_freq_GGA,87.0,28.56796928048134
codon_freq_GGT,17.0,168.62592420578002
codon_freq_GGG,44.0,69.86711751520633
codon_freq_GGC,72.0,37.020841443538664
codon_freq_GCA,79.0,32.752646738290785
codon_freq_GCT,31.0,98.08539720773697
codon_freq_GCG,73.0,36.69161896705627
codon_freq_GCC,116.0,18.413807541131973
codon_freq_CAA,37.0,93.43846900463105
codon_freq_CAT,78.0,33.365286719799045
codon_freq_CAG,109.0,20.487897157669067
codon_freq_CAC,16.0,172.14068157076835
codon_freq_CTA,56.0,50.112723058462144
codon_freq_CTT,140.0,13.852006369829178
codon_freq_CTG,107.0,21.079940956830978
codon_freq_CTC,66.0,39.06782914996147
codon_freq_CGA,134.0,14.976040852069854
codon_freq_CGT,36.0,95.55873122215272
codon_freq_CGG,30.0,101.0447065114975
codon_freq_CGC,81.0,31.13709229528904
codon_freq_CCA,43.0,77.54794318675995
codon_freq_CCT,111.0,19.700006771087647
codon_freq_CCG,62.0,41.6488343924284
codon_freq_CCC,61.0,42.11658887267113
aa_freq_M,33.0,96.73282387852669
aa_freq_I,32.0,97.23040060997009
aa_freq_L,21.0,139.03552697896959
aa_freq_V,39.0,80.3937140583992
aa_freq_F,98.0,23.12668733596802
aa_freq_C,9.0,291.70011028051374
aa_freq_A,69.0,37.97686265707016
aa_freq_G,63.0,40.60657552778721
aa_freq_P,25.0,130.45296422243118
aa_freq_T,83.0,30.656015855073928
aa_freq_S,3.0,588.8386177927256
aa_freq_Y,45.0,66.65505135655403
aa_freq_W,151.0,10.371215930581092
aa_freq_Q,27.0,120.1037320137024
aa_freq_N,14.0,180.8491349339485
aa_freq_H,4.0,541.6881627142429
aa_freq_E,67.0,38.73811386227608
aa_freq_D,18.0,156.4992603123188
aa_freq_K,20.0,148.10135630369186
aa_freq_R,7.0,293.0081886649132
aa_freq_X,161.0,0.0
3mer_freq_5_AAA,153.0,10.158220726251603
3mer_freq_5_AAT,158.0,9.153848856687546
3mer_freq_5_AAG,125.0,16.400893568992615
3mer_freq_5_AAC,139.0,14.085338914394379
3mer_freq_5_ATA,142.0,12.506664437055587
3mer_freq_5_ATT,133.0,15.114771127700806
3mer_freq_5_ATG,2.0,2229.5507988870145
3mer_freq_5_ATC,136.0,14.228024649620057
3mer_freq_5_AGA,156.0,9.682078588008881
3mer_freq_5_AGT,137.0,14.153523868322372
3mer_freq_5_AGG,157.0,9.550487053394317
3mer_freq_5_AGC,103.0,21.484877389669418
3mer_freq_5_ACA,114.0,19.39156214594841
3mer_freq_5_ACT,123.0,16.608932024240495
3mer_freq_5_ACG,77.0,33.92060120105744
