,rank,mean_importance
utr5_log_size,28.0,0.0016327608509074572
cds_log_size,1.0,0.6212239169777674
utr3_log_size,51.0,0.0004536261097819478
tx_log_size,36.0,0.0008723664785131603
A_percent5,18.0,0.003560766497113907
T_percent5,20.0,0.003102602526332485
G_percent5,54.0,0.00042561841131277367
C_percent5,64.0,0.00025058389288237114
A_percent3,132.0,2.9332716537001306e-05
T_percent3,3.0,0.020158758044469562
G_percent3,13.0,0.00544639498005303
C_percent3,62.0,0.0002626445246890426
codon_freq_AAA,37.0,0.0008481331863210781
codon_freq_AAT,34.0,0.001167644498165483
codon_freq_AAG,11.0,0.006499322890206484
codon_freq_AAC,61.0,0.00029051606122342314
codon_freq_ATA,66.0,0.00022312272826982487
codon_freq_ATT,41.0,0.0007451273063934654
codon_freq_ATG,27.0,0.001755194033963485
codon_freq_ATC,43.0,0.0006880384715042341
codon_freq_AGA,86.0,0.00012354763677604284
codon_freq_AGT,75.0,0.00017230339341830697
codon_freq_AGG,17.0,0.0039976440855365464
codon_freq_AGC,16.0,0.00406895260521452
codon_freq_ACA,109.0,5.532188460444106e-05
codon_freq_ACT,159.0,0.0
codon_freq_ACG,108.0,5.58273099952944e-05
codon_freq_ACC,44.0,0.0006377772746729748
codon_freq_TAA,22.0,0.0024434503894703074
codon_freq_TAT,83.0,0.00013275769004127518
codon_freq_TAG,114.0,4.913772063289014e-05
codon_freq_TAC,145.0,1.222017090229606e-05
codon_freq_TTA,89.0,0.00012077856836475702
codon_freq_TTT,148.0,1.1426142575327153e-05
codon_freq_TTG,128.0,3.115927106177465e-05
codon_freq_TTC,121.0,4.08426744309913e-05
codon_freq_TGA,104.0,6.324750843991384e-05
codon_freq_TGT,26.0,0.00175793458875809
codon_freq_TGG,73.0,0.0001838638221660692
codon_freq_TGC,23.0,0.002076536690282396
codon_freq_TCA,52.0,0.0004453050889640517
codon_freq_TCT,93.0,0.00010463721592899305
codon_freq_TCG,77.0,0.00016905673706444827
codon_freq_TCC,60.0,0.00029725262263325655
codon_freq_GAA,112.0,5.150130574534419e-05
codon_freq_GAT,5.0,0.014823793942488044
codon_freq_GAG,87.0,0.00012346007012533483
codon_freq_GAC,69.0,0.00021086240171297503
codon_freq_GTA,105.0,6.174081804865902e-05
codon_freq_GTT,68.0,0.0002123404303276813
codon_freq_GTG,67.0,0.00021310892350032937
codon_freq_GTC,96.0,0.00010157131549094723
codon_freq_GGA,97.0,9.982024334421658e-05
codon_freq_GGT,21.0,0.0024856436201948088
codon_freq_GGG,56.0,0.0003563532302595036
codon_freq_GGC,113.0,4.957784758497553e-05
codon_freq_GCA,107.0,5.610390939793624e-05
codon_freq_GCT,33.0,0.001306016854914315
codon_freq_GCG,90.0,0.00011102107365015112
codon_freq_GCC,95.0,0.00010221362092601937
codon_freq_CAA,92.0,0.00010587727326081743
codon_freq_CAT,53.0,0.0004259233948473807
codon_freq_CAG,65.0,0.000249271298120013
codon_freq_CAC,6.0,0.014368437055859065
codon_freq_CTA,82.0,0.00013622483166392596
codon_freq_CTT,142.0,1.7496808373195073e-05
codon_freq_CTG,58.0,0.0003366667954239454
codon_freq_CTC,42.0,0.0007019882723266464
