fold,elasticnet-LL_P5_P3_CF_AAF_3mer_freq_5,lasso-LL_P5_P3_CF_AAF_3mer_freq_5,lgbm-LL_P5_P3_CF_AAF_3mer_freq_5,randomforest-LL_P5_P3_CF_AAF_3mer_freq_5
0,0.5246779146622241,0.5246667079496136,0.5492221289033374,0.4317067565248147
1,0.5654031059785403,0.5654153218408784,0.6056822588268691,0.4998801169385253
2,0.5316730016389459,0.5316076777522687,0.5656935633063161,0.4336071621737756
3,0.5626977431752771,0.5627352921717934,0.6068803815898834,0.4947546735977689
4,0.5405965433135362,0.5406041904718917,0.6174721443083104,0.4948068394848318
5,0.5611350445543364,0.5611117560974577,0.6010048742038451,0.4829430275938057
6,0.5763654484557281,0.5763613016092937,0.6115534617514184,0.4893098975386113
7,0.5141723275567475,0.5141401788648772,0.5748986974748798,0.4636038480107237
8,0.5568758742464337,0.5568599131341149,0.5842730728048429,0.4561976071070444
9,0.5387933125511299,0.5387912797434758,0.5838349635191741,0.4567047205376409
