,rank,mean_importance
utr5_log_size,10.0,319.32814183779385
cds_log_size,1.0,4997.460330161582
utr3_log_size,5.0,377.8822863487662
tx_log_size,4.0,508.1272116341885
A_percent5,23.0,203.25068263497906
T_percent5,26.0,198.99853007888447
G_percent5,59.0,113.42377444704374
C_percent5,100.0,61.48223896337592
A_percent3,50.0,126.98522060219793
T_percent3,9.0,323.11662645119685
G_percent3,33.0,175.2993850423806
C_percent3,57.0,117.9692178496848
codon_freq_AAA,21.0,241.02939090279565
codon_freq_AAT,73.0,95.47086876375951
codon_freq_AAG,11.0,301.03335752854315
codon_freq_AAC,42.0,147.44834092674049
codon_freq_ATA,53.0,119.70409071821234
codon_freq_ATT,13.0,275.04500679352145
codon_freq_ATG,44.0,143.3072945870783
codon_freq_ATC,31.0,178.6327077365008
codon_freq_AGA,30.0,179.75056060729682
codon_freq_AGT,39.0,155.4251988256755
codon_freq_AGG,14.0,269.1391161951466
codon_freq_AGC,17.0,252.1694064702245
codon_freq_ACA,86.0,72.94180939236414
codon_freq_ACT,106.0,57.56112925246142
codon_freq_ACG,123.0,45.260773978026016
codon_freq_ACC,55.0,118.44578928070656
codon_freq_TAA,75.0,89.59018566984197
codon_freq_TAT,94.0,67.57647103762281
codon_freq_TAG,160.0,16.302990934425505
codon_freq_TAC,85.0,73.22697078779987
codon_freq_TTA,32.0,177.46226351567802
codon_freq_TTT,103.0,59.32503843406836
codon_freq_TTG,107.0,57.10739036936691
codon_freq_TTC,79.0,84.3342975606521
codon_freq_TGA,129.0,40.37146213136722
codon_freq_TGT,51.0,126.37155827681224
codon_freq_TGG,72.0,95.79681583703429
codon_freq_TGC,34.0,171.48831250827382
codon_freq_TCA,29.0,181.00158308083596
codon_freq_TCT,97.0,66.57798951488473
codon_freq_TCG,121.0,46.291383442757784
codon_freq_TCC,78.0,86.0279176566048
codon_freq_GAA,40.0,149.25469910165538
codon_freq_GAT,12.0,276.2537111636089
codon_freq_GAG,65.0,103.09268521238928
codon_freq_GAC,90.0,69.89859211241854
codon_freq_GTA,112.0,53.27546259842921
codon_freq_GTT,82.0,79.8092759905518
codon_freq_GTG,88.0,71.2169941874086
codon_freq_GTC,87.0,72.29491289201854
