bio_source,0,1,2,3,4,5,6,7,8,9,mean
bio_source_3T3,0.3540085643247393,0.3537013881848841,0.3270979705672229,0.3426772604028595,0.3297681740883351,0.3881337921677974,0.3401519039273184,0.3813921335176446,0.3342278757062575,0.3668252674444712,0.351798433033153
bio_source_4T1,0.3754846903683009,0.404852451842687,0.3768059099038144,0.3547116890632312,0.3907849762215398,0.4208043988899229,0.4084569918657129,0.4180344923466602,0.3985902352734459,0.349248877294627,0.3897774713069942
bio_source_A3-1 mESC,0.3491961442121126,0.3815502275439277,0.33992978907655,0.3209504402581858,0.3479930017996891,0.3604715407961091,0.3553400813720607,0.3429582029753845,0.370631846399225,0.3411753971115925,0.3510196671544837
bio_source_B16 melanoma cell,0.4351885413757415,0.4795491342724057,0.4840112608197483,0.4628405917094739,0.4217501958492157,0.4952398887807151,0.4577990726107155,0.4571639761098308,0.4294670535220946,0.4542355087544262,0.4577245223804366
bio_source_Bone marrow derived macrophage,0.3878473924197714,0.4471159210044242,0.4042345772036078,0.4196739597858213,0.4376407305292087,0.4092570068904549,0.4255599140467915,0.4303819137463371,0.3589270769574036,0.3773318797314683,0.4097970372315289
bio_source_Bone marrow derived primary dendritic cells,0.2704736110277022,0.2645647341705963,0.2631812327946828,0.2054592397500311,0.2532995917670598,0.2965566728847293,0.2706014787126279,0.2375410522981018,0.2467924470807174,0.2484732071647895,0.2556943267651038
bio_source_Bone marrow derived regulatory dendritic cells,0.2176476566739695,0.205518306747218,0.1515048992285266,0.1394044348569341,0.1864715741853281,0.1969061535038203,0.1870118972417273,0.1840587280983081,0.142654684698536,0.1759421327455499,0.1787120467979918
bio_source_CD4 T-cells,0.5267705811962363,0.5248819355580938,0.5326322181064191,0.5490384366469706,0.5273053902647856,0.5535944846034258,0.5697626822592547,0.5515577499802067,0.5213579411695672,0.5435195622032453,0.5400420981988205
bio_source_CGR8 mESC,0.5535850004436949,0.5733991239327633,0.5584160382641186,0.5737467538656589,0.5236350528849181,0.5362446271872061,0.529971991403964,0.5652407278623955,0.5334980251665449,0.5162797840805806,0.5464017125091846
bio_source_Cerebellum,0.5621001797045109,0.6193204521879909,0.5962994318343393,0.6137564349963941,0.5628376785676622,0.6242895930983473,0.5979190655115494,0.5980704658741017,0.6066255979454496,0.583654584282562,0.5964873484002908
bio_source_DRG neuronal culture,-1.131250001511212,-1.3528318063177829,-1.3536865274619911,-0.9746280544983212,-1.1862761436870652,-0.9543034295796576,-0.7886495355472039,-0.989656620081054,-0.8962732060123058,-1.1553491689356243,-1.0782904493632215
