,rank,mean_importance
utr5_log_size,11.0,315.45304004791853
cds_log_size,1.0,3409.4233061453137
utr3_log_size,6.0,377.1124739854664
tx_log_size,5.0,499.83145427194194
A_percent5,30.0,177.44563418099847
T_percent5,36.0,172.80195095288582
G_percent5,63.0,105.74637195195841
C_percent5,108.0,55.074741467790325
A_percent3,54.0,123.49032064529433
T_percent3,10.0,323.32454291487085
G_percent3,33.0,174.1821270365646
C_percent3,56.0,118.02295129363951
codon_freq_AAA,22.0,240.497457072182
codon_freq_AAT,74.0,94.57472943896833
codon_freq_AAG,12.0,297.08644634485245
codon_freq_AAC,44.0,145.4581968056119
codon_freq_ATA,57.0,117.94611089410989
codon_freq_ATT,13.0,279.59450936969637
codon_freq_ATG,19.0,246.51302245220413
codon_freq_ATC,32.0,174.73964187969332
codon_freq_AGA,31.0,175.93097296504007
codon_freq_AGT,42.0,154.73217817981174
codon_freq_AGG,15.0,267.35380609916604
codon_freq_AGC,20.0,246.1845690716004
codon_freq_ACA,89.0,69.2433568827484
codon_freq_ACT,109.0,54.98598333968633
codon_freq_ACG,125.0,42.49630034868268
codon_freq_ACC,58.0,116.25710911452771
codon_freq_TAA,77.0,87.40473151833251
codon_freq_TAT,98.0,64.15996098332647
codon_freq_TAG,164.0,14.860159958531892
codon_freq_TAC,87.0,73.50651223262152
codon_freq_TTA,34.0,173.84948530248974
codon_freq_TTT,105.0,57.56680990548237
codon_freq_TTG,107.0,55.07527149673821
codon_freq_TTC,81.0,81.94813681784747
codon_freq_TGA,132.0,38.34456558568754
codon_freq_TGT,53.0,124.59832459601803
codon_freq_TGG,52.0,125.8547100076209
codon_freq_TGC,39.0,165.2747033563645
codon_freq_TCA,29.0,180.0530019244854
codon_freq_TCT,96.0,64.32907498349314
codon_freq_TCG,123.0,44.56488847235838
codon_freq_TCC,80.0,82.6279407226953
codon_freq_GAA,45.0,144.5218744168679
codon_freq_GAT,14.0,274.248138078097
codon_freq_GAG,67.0,100.53838222912256
codon_freq_GAC,91.0,67.49488522237625
codon_freq_GTA,113.0,52.189022970156394
codon_freq_GTT,84.0,76.93247406603633
codon_freq_GTG,90.0,68.76509243871855
codon_freq_GTC,88.0,69.58711169444132
codon_freq_GGA,79.0,83.06637294059215
codon_freq_GGT,28.0,186.9951588080413
codon_freq_GGG,50.0,133.19613215681434
codon_freq_GGC,51.0,133.09894858266134
codon_freq_GCA,103.0,58.720440557555875
codon_freq_GCT,27.0,187.47345622432405
codon_freq_GCG,83.0,77.08460629914981
codon_freq_GCC,78.0,87.31069527346155
codon_freq_CAA,48.0,139.79732604640117
codon_freq_CAT,73.0,95.29247461185939
codon_freq_CAG,100.0,63.50601712292519
codon_freq_CAC,41.0,154.93288824985856
codon_freq_CTA,60.0,114.89295580503733
codon_freq_CTT,110.0,53.99986444806707
codon_freq_CTG,82.0,79.39858794195065
codon_freq_CTC,62.0,108.66930472302263
codon_freq_CGA,112.0,53.421976751607396
codon_freq_CGT,59.0,115.91970405643401
codon_freq_CGG,46.0,144.1935680248599
codon_freq_CGC,86.0,74.37503094526305
codon_freq_CCA,65.0,104.45818308807802
codon_freq_CCT,102.0,60.12000638082407
codon_freq_CCG,93.0,66.57595186751821
codon_freq_CCC,38.0,168.35533542900845
aa_freq_M,174.5,0.0
aa_freq_I,16.0,259.4011082141296
aa_freq_L,17.0,254.76448496886786
aa_freq_V,64.0,104.82577586009883
aa_freq_F,85.0,76.03159138124059
aa_freq_C,21.0,245.30553185330785
aa_freq_A,71.0,96.07590497658737
aa_freq_G,70.0,99.06416537973328
aa_freq_P,18.0,249.31604552005513
aa_freq_T,104.0,57.81498405708783
aa_freq_S,4.0,527.9538151590289
aa_freq_Y,75.0,93.15744469204675
aa_freq_W,174.5,0.0
aa_freq_Q,69.0,100.43230814203837
aa_freq_N,24.0,224.3574884969687
aa_freq_H,8.0,343.0168111269457
aa_freq_E,25.0,201.1433669783067
aa_freq_D,26.0,197.23138972343742
aa_freq_K,9.0,336.5152684825918
aa_freq_R,7.0,363.08244772752124
aa_freq_X,2.0,1630.0812845008961
3mer_freq_5_AAA,151.0,28.55891194663186
3mer_freq_5_AAT,161.0,23.030718943649443
3mer_freq_5_AAG,124.0,42.758677536767465
3mer_freq_5_AAC,141.0,34.846970721604166
3mer_freq_5_ATA,150.0,28.633196766998456
3mer_freq_5_ATT,158.0,25.121561761092448
3mer_freq_5_ATG,3.0,1029.5854923493189
3mer_freq_5_ATC,144.0,34.455783811989036
3mer_freq_5_AGA,136.0,37.305719610703164
3mer_freq_5_AGT,106.0,55.18818379891091
3mer_freq_5_AGG,145.0,32.303692763179974
3mer_freq_5_AGC,130.0,40.31039295611174
3mer_freq_5_ACA,129.0,40.679693446988644
3mer_freq_5_ACT,126.0,41.73197678768116
3mer_freq_5_ACG,92.0,66.74359159262283
3mer_freq_5_ACC,122.0,46.13037041088809
3mer_freq_5_TAA,155.0,25.64757680033428
3mer_freq_5_TAT,160.0,24.543816641059475
3mer_freq_5_TAG,157.0,25.299913872756818
3mer_freq_5_TAC,154.0,26.580754451475283
3mer_freq_5_TTA,162.0,19.757863747209743
3mer_freq_5_TTT,134.0,37.5411645790805
3mer_freq_5_TTG,131.0,39.9281279032645
3mer_freq_5_TTC,76.0,88.12599075626636
3mer_freq_5_TGA,153.0,27.204558650868528
3mer_freq_5_TGT,147.0,30.34880852509236
3mer_freq_5_TGG,97.0,64.16811652317428
3mer_freq_5_TGC,137.0,36.410272102727404
3mer_freq_5_TCA,121.0,46.83949314930301
3mer_freq_5_TCT,117.0,49.83766534039076
3mer_freq_5_TCG,49.0,134.19089095225368
3mer_freq_5_TCC,127.0,41.51086409256078
3mer_freq_5_GAA,140.0,35.26143029897973
3mer_freq_5_GAT,159.0,24.649479194395784
3mer_freq_5_GAG,135.0,37.38694690582545
3mer_freq_5_GAC,143.0,34.47581673467505
3mer_freq_5_GTA,152.0,27.887558776226598
3mer_freq_5_GTT,118.0,49.268490937006646
3mer_freq_5_GTG,142.0,34.84535870258359
3mer_freq_5_GTC,115.0,51.187697832048805
3mer_freq_5_GGA,128.0,41.2283660861893
3mer_freq_5_GGT,138.0,36.149258609483205
3mer_freq_5_GGG,40.0,157.59322273277718
3mer_freq_5_GGC,23.0,232.6697789007771
3mer_freq_5_GCA,116.0,50.87781253206557
3mer_freq_5_GCT,139.0,35.31784873747307
3mer_freq_5_GCG,95.0,65.42161876891834
3mer_freq_5_GCC,61.0,114.67575330190037
3mer_freq_5_CAA,111.0,53.454228514432906
3mer_freq_5_CAT,148.0,28.71576586348423
3mer_freq_5_CAG,68.0,100.44190893592177
3mer_freq_5_CAC,119.0,48.380868359018066
3mer_freq_5_CTA,146.0,31.88776531254036
3mer_freq_5_CTT,99.0,63.80393507614516
3mer_freq_5_CTG,72.0,95.53937906726547
3mer_freq_5_CTC,101.0,60.696922526325004
3mer_freq_5_CGA,114.0,52.0987806989231
3mer_freq_5_CGT,47.0,141.3764981781227
3mer_freq_5_CGG,43.0,152.79259668446105
3mer_freq_5_CGC,94.0,65.45131507887356
3mer_freq_5_CCA,120.0,47.56687495099462
3mer_freq_5_CCT,133.0,37.989655297778654
3mer_freq_5_CCG,66.0,100.93676729759444
3mer_freq_5_CCC,55.0,118.23473750318306
struct_min_dG_UTR5,37.0,170.5086539796297
struct_n_hairpins_UTR5,169.0,4.393185599385828
struct_n_bifurc_UTR5,173.0,1.7706754147142605
struct_n_bulges_UTR5,170.0,4.22788685378821
struct_start_stem_UTR5,149.0,28.681557464167692
struct_max_stem_len_UTR5,163.0,19.315053496023882
struct_max_loop_len_UTR5,167.0,13.401309659126875
struct_min_dG_CDS,35.0,173.42900270819663
struct_n_hairpins_CDS,171.0,2.032605250287747
struct_n_bifurc_CDS,172.0,1.9672152362871862
struct_n_bulges_CDS,168.0,5.636267504484757
struct_start_stem_CDS,156.0,25.496169921280682
struct_max_stem_len_CDS,166.0,13.749864327562028
struct_max_loop_len_CDS,165.0,14.293765482911166
